2009	1	4	Oklahoma City Oil Barons	Patrick Berglund	Center
2009	1	5	Louisiana Voodoo	Michael Frolik	Winger
2009	1	6	Toledo Honey Badgers	Zach Bogosian	Defense
2009	1	7	South Carolina Stingrays	Anton Babchuk	Defense
2009	1	8	Milwaukee Ice Dragons	Claude Giroux	Center
2009	1	9	Mississippi Mudbugs	Pekka Rinne	Goaltender
2009	1	10	Oklahoma City Oil Barons	Blake Wheeler	Winger
2009	1	11	Mississippi Mudbugs	T.J. Oshie	Winger
2009	1	12	Oakland Assassins	Jakub Voracek	Winger
2009	1	13	Cape Breton Royals	James Neal	Winger
2009	1	14	Halifax Conquerers	Luke Schenn	Defense
2009	1	15	Indianapolis Mountain Goats	Kyle Quincey	Defense
2009	1	16	Louisiana Voodoo	M. Boedker	Winger
2009	1	17	Green Bay Glory	Josh Bailey	Winger
2009	1	18	Indianapolis Mountain Goats	Jonathan Quick	Goaltender
2009	2	19	Oakland Assassins	Fabian Brunnstrom	Winger
2009	2	20	Toledo Honey Badgers	Kyle Turris	Center
2009	2	21	San Francisco Fighting Cocks	Ville Leino	Winger
2009	2	22	South Carolina Stingrays	Joel Ward	Winger
2009	2	23	Brandon Bandits	Karl Alzner	Defense
2009	2	24	Toledo Honey Badgers	Alex Goligoski	Defense
2009	2	25	Oklahoma City Oil Barons	Viktor Tikhonov	Winger
2009	2	26	Indianapolis Mountain Goats	Andrew Ebbett	Winger
2009	2	27	Seattle Surge	Steve Sullivan	Winger
2009	2	28	San Francisco Fighting Cocks	Luca Sbisa	Defense
2009	2	29	Las Vegas Desperado	Scott Clemmensen	Goaltender
2009	2	30	Green Bay Glory	Mark Giordano	Defense
2009	2	31	San Francisco Fighting Cocks	Oscar Moller	Winger
2009	2	32	Cape Breton Royals	Nikolai Kulemin	Center
2009	2	33	Las Vegas Desperado	Semyon Varlamov	Goaltender
2009	2	34	Oklahoma City Oil Barons	Colin Fraser	Center
2009	2	35	Toledo Honey Badgers	Brian Elliott	Goaltender
2009	2	36	Toledo Honey Badgers	Chris Stewart	Winger
2009	3	37	Indianapolis Mountain Goats	Wayne Simmonds	Winger
2009	3	38	Cape Breton Royals	Ryan Jones	Winger
2009	3	39	Milwaukee Ice Dragons	Ryan Shannon	Defense
2009	3	40	Memphis Hound Dogs	Darren Helm	Winger
2009	3	41	Halifax Conquerers	Matt D' Agostini	Winger
2009	3	42	Las Vegas Desperado	Brendan Bell	Defense
2009	3	43	Las Vegas Desperado	T.J. Galiardi	Winger
2009	3	44	Indianapolis Mountain Goats	Cal Clutterbuck	Winger
2009	3	45	Seattle Surge	Brian Boucher	Goaltender
2009	3	46	Louisiana Voodoo	Troy Brouwer	Winger
2009	3	47	Charlotte Storm	Chris Butler	Defense
2009	3	48	Green Bay Glory	Roman Polak	Defense
2009	3	49	Louisiana Voodoo	Georges Laraque	Winger
2009	3	50	Milwaukee Ice Dragons	Max Pacioretty	Winger
2009	3	51	South Carolina Stingrays	John Mitchell	Center
2009	3	52	San Francisco Fighting Cocks	Al Montoya	Goaltender
2009	3	53	Toledo Honey Badgers	Nigel Dawes	Winger
2009	3	54	Toledo Honey Badgers	Brian Lee	Defense
2009	4	55	Victoria Vipers	Rob Scuderi	Defense
