31	Holtby, Braden	MSG	26	1453	4.21	11	14	0	1	0	102	795	897	0.886	0	0	0	4	13	17	30	43.3	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
32	Howard, Jimmy		14	788	3.43	4	8	1	3	0	45	412	457	0.902	0	2	2	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
33	Hutchinson, Michael		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
34	Khudobin, Anton	PEO	46	2721	2.95	23	17	4	1	1	134	1503	1637	0.918	0	1	1	0	0	2	2	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
35	Kinkaid, Keith	VIC	2	2	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
36	Korpisalo, Joonas	CIN	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
37	Koskinen, Mikko	PEO	2	106	3.96	1	1	0	0	0	7	54	61	0.885	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
38	Kuemper, Darcy	STA	44	2642	2.95	26	13	4	0	2	130	1124	1254	0.896	0	4	4	8	29	32	61	47.5	4	0	0	0	0	0	0	0	2019-20	Regular	Veteran
39	Lehner, Robin	MIL	46	2672	2.31	34	9	2	1	3	103	1233	1336	0.923	0	1	1	4	15	12	27	55.6	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
40	Lundqvist, Henrik		5	255	5.18	2	2	1	0	0	22	134	156	0.859	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
41	Luongo, Roberto		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
42	M. Fleury, Marc-Andre	IND	4	196	3.06	2	1	0	0	0	10	83	93	0.892	0	1	1	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
43	M. Jones, Martin		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
44	M. Murray, Matt	OKL	44	2608	3.54	15	24	4	3	2	154	1493	1647	0.906	0	0	0	0	0	3	3	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
45	M. Smith, Mike	AUG	1	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	1	0	1	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
46	M. Subban, Malcolm*		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
47	Markstrom, Jacob	SCS	3	137	4.38	0	2	0	1	0	10	62	72	0.861	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
48	McElhinney, Curtis	SEA	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
49	McKenna, Mike		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
50	Montembeault, Sam*		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
51	Mrazek, Petr	CIN	25	1402	3.25	11	11	1	5	0	76	708	784	0.903	0	0	0	2	23	13	36	63.9	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
52	Neuvirth, Michal		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
53	Niemi, Antti		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
54	Nilsson, Anders	SFC	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
55	Petersen, Calvin*	STA	5	257	3.97	2	2	0	0	0	17	150	167	0.898	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
56	Pickard, Calvin		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
57	Price, Carey	CHY	34	1951	3.44	16	11	5	1	1	112	973	1085	0.897	0	0	0	10	20	23	43	46.5	5	0	0	0	0	0	0	0	2019-20	Regular	Veteran
58	Quick, Jonathan	OKL	4	209	5.17	0	3	0	0	0	18	132	150	0.880	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
59	R. Miller, Ryan	MEM	2	118	4.58	1	1	0	0	0	9	49	58	0.845	0	0	0	0	5	1	6	83.3	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
60	Raanta, Antti	MIL	1	35	1.71	0	0	0	0	0	1	20	21	0.952	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
61	Reimer, James	GRE	3	109	2.75	0	2	0	1	0	5	39	44	0.886	0	0	0	0	1	2	3	33.3	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
62	Rinne, Pekka	MEM	46	2721	3.00	25	15	4	1	1	136	1508	1644	0.917	0	0	0	4	1	0	1	100.0	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
63	Rittich, David	CHY	15	883	3.13	8	6	0	1	0	46	392	438	0.895	0	0	0	0	2	2	4	50.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
64	Saros, Juuse	OAK	1	25	2.40	0	0	1	0	0	1	20	21	0.952	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
65	Schneider, Cory		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
66	Sparks, Garret*		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
67	Stalock, Alex		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
68	Stolarz, Anthony*		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
69	T. Rask, Tuukka	SFC	44	2581	3.84	17	22	4	2	0	165	1247	1412	0.883	0	0	0	6	24	25	49	49.0	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
70	Talbot, Cam		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
71	Ullmark, Linus*	ATL	6	358	5.70	0	6	0	0	0	34	224	258	0.868	0	0	0	2	5	3	8	62.5	1	0	0	0	0	0	0	0	2019-20	Regular	Rookie
72	Varlamov, Semyon	SEA	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
73	Vasilevskiy, Andrei	KEL	47	2802	3.47	18	23	3	7	1	162	1633	1795	0.910	0	0	0	4	0	2	2	0.0	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
74	Ward, Cam		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
75	Jarry, Tristan	LSB	0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
