Allen, Jake	ATL	25	1502	4.91	5	18	2	5	0	123	961	1084	0.887	0	0	0	6	38	25	63	60.3	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Andersen, Frederik	LSB	36	2070	4.23	13	19	2	5	0	146	1239	1385	0.895	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Bishop, Ben	AUG	40	2338	3.05	22	14	4	3	1	119	1275	1394	0.915	0	1	1	12	35	38	73	47.9	6	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Bernier, Jonathan		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Binnington, Jordan	ATL	9	553	4.45	2	5	2	1	0	41	346	387	0.894	0	0	0	2	14	6	20	70.0	1	0	0	0	0	0	0	0	2019-20	Regular	Rookie
Blackwood, Mackenzie	SCS	2	90	4.00	0	1	0	0	0	6	30	36	0.833	0	0	0	0	1	0	1	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
Bobrovsky, Sergei	VIC	40	2394	4.06	13	26	1	6	2	162	1404	1566	0.897	0	2	2	2	0	1	1	0.0	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Brossoit, Laurent	SFC	6	308	2.73	2	3	0	0	0	14	176	190	0.926	0	0	0	0	1	1	2	50.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Anderson, Craig		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Hutton, Carter	WIT	39	2337	3.65	11	26	1	4	0	142	1223	1365	0.896	0	1	1	0	2	0	2	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Johnson, Chad		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Campbell, Jack	WIT	2	75	3.20	0	0	1	0	0	4	40	44	0.909	0	0	0	0	2	0	2	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Copley, Pheonix		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Crawford, Corey		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Darling, Scott		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Delia, Collin		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
Dell, Aaron		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Demko, Thatcher	KEL	3	101	1.78	0	0	1	0	0	3	62	65	0.954	0	0	0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
DeSmith, Casey	MIL	3	124	6.77	0	1	1	0	0	14	73	87	0.839	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Domingue, Louis		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Dubnyk, Devan	SEA	40	2409	2.74	26	12	2	2	5	110	1161	1271	0.913	0	0	0	0	2	0	2	100.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Elliott, Brian	LSB	1	6	0.00	0	0	0	0	0	0	4	4	1.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Georgiev, Alexandar	AUG	2	80	4.50	0	0	0	0	0	6	36	42	0.857	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
Gibson, John	SCS	32	1928	3.24	17	13	2	1	1	104	1084	1188	0.912	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Greiss, Thomas	OAK	40	2354	2.50	25	10	4	4	3	98	1128	1226	0.920	0	0	0	8	17	22	39	43.6	4	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Grubauer, Philipp	GRE	39	2297	3.63	14	21	3	5	1	139	1168	1307	0.894	0	0	0	4	11	17	28	39.3	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Halak, Jaroslav	IND	38	2221	3.05	22	9	5	1	2	113	988	1101	0.897	0	2	2	4	17	32	49	34.7	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Hart, Carter	MSG	16	816	4.63	4	9	0	0	0	63	533	596	0.894	0	0	0	2	16	18	34	47.1	1	0	0	0	0	0	0	0	2019-20	Regular	Rookie
Hellebuyck, Connor	CIN	17	1014	3.25	7	7	3	1	0	55	497	552	0.900	0	0	0	4	2	0	2	100.0	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
Hill, Adin		0	0	0.00	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
Holtby, Braden	MSG	20	1097	4.59	6	13	0	1	0	84	583	667	0.874	0	0	0	4	10	12	22	45.5	2	0	0	0	0	0	0	0	2019-20	Regular	Veteran
