33	Barzal, Mathew	PEO	C	82	18	44	62	-5	46	3	0	3	0	179	10.1	18:00	90	2	0	0	0	0	8	5	5	5	3	2	1	0	0	0	0	1	153
34	Batherson, Drake	KEL	RW	20	3	6	9	-2	6	2	0	2	0	18	16.7	13:30	90	0	0	2	0	0	26	3	4	3	2	3	2	0	0	0	1	0	56
35	Beagle, Jay	KEL	C	57	3	10	13	-8	18	0	1	0	0	45	6.7	13:45	90	5	0	0	0	0	12	3	3	3	4	4	3	0	0	1	0	4	32
36	Beauvillier, Anthony	MSG	LW	81	18	10	28	1	8	1	0	4	0	156	11.5	14:45	90	0	2	2	0	0	16	4	4	3	5	2	2	0	0	0	0	0	4
37	Bellemare, P.E.	SCS	C	76	6	9	15	2	6	0	2	0	0	108	5.6	12:30	90	5	0	0	0	0	8	3	3	2	3	3	3	0	0	1	0	4	5
38	Bennett, Sam	CHY	LW	71	13	14	27	-6	93	4	0	2	0	115	11.3	13:15	90	0	3	3	0	0	16	4	4	4	3	4	3	0	0	0	0	2	20
39	Bergeron, Patrice	IND	C	65	32	47	79	23	30	9	4	3	0	205	15.6	18:30	90	5	0	0	0	0	33	5	3	5	4	3	2	0	0	1	0	5	109
40	Berglund, Patrik	 	RW	23	2	2	4	-5	6	0	0	0	0	25	8.0	13:00	90	3	3	3	0	0	7	2	2	3	2	3	1	0	0	0	0	3	1
41	Bertuzzi, Tyler	CHY	LW	73	21	26	47	11	36	3	0	4	0	131	16.0	16:30	90	0	4	4	0	0	17	3	4	4	4	3	4	0	1	0	0	0	57
42	Bjork, Anders	MIL	RW	20	1	2	3	-1	2	0	0	0	0	18	5.6	11:45	90	0	2	2	0	0	4	3	4	3	2	1	1	0	0	0	0	0	9
43	Bjorkstrand, Oliver	OAK	RW	77	23	13	36	8	8	3	0	1	0	161	14.3	12:15	90	0	3	3	0	0	25	3	4	3	2	2	1	0	0	0	0	0	37
44	Bjugstad, Nick	VIC	C	64	14	12	26	6	30	2	0	2	0	154	9.1	15:00	90	3	0	3	0	0	27	4	3	3	4	4	4	0	0	0	0	3	10
45	Blais, Samuel	WIT	RW	32	2	2	4	-1	6	0	0	0	0	27	7.4	09:45	90	0	2	2	0	0	12	3	3	2	2	4	3	0	0	0	0	0	6
46	Blandisi, Joseph	 	LW	9	0	0	0	-1	6	0	0	0	0	8	0.0	07:30	90	0	1	1	0	0	3	2	3	2	1	3	2	0	0	0	0	0	0
47	Blueger, Teddy	 	LW	28	6	4	10	7	15	0	1	1	0	33	18.2	11:00	90	3	3	0	0	0	30	2	3	2	2	3	2	0	0	0	0	1	26
48	Boedker, Mikkel	OKL	LW	71	7	28	35	-23	6	2	0	1	0	88	8.0	14:00	90	0	3	3	0	0	12	3	4	4	2	2	1	0	0	0	0	0	207
49	Boeser, Brock	OKL	RW	69	26	30	56	-2	22	6	0	3	0	209	12.4	19:15	90	0	0	3	0	0	20	4	4	5	4	2	1	0	0	0	0	0	70
50	Bonino, Nick	GRE	C	81	17	18	35	27	18	3	0	1	0	118	14.4	16:15	90	4	4	0	0	0	23	2	3	3	4	2	1	0	0	1	0	3	6
51	Borgstrom, Henrik	OAK	C	50	8	10	18	-14	4	3	0	0	0	54	14.8	12:00	90	2	2	0	0	0	23	4	3	4	2	1	2	0	0	0	0	1	20
52	Bourque, Gabriel	 	RW	55	2	6	8	3	10	0	0	1	0	34	5.9	09:45	90	0	3	3	0	0	4	3	3	2	3	4	3	0	0	0	2	0	17
53	Boyd, Travis	CIN	RW	53	5	15	20	6	6	0	0	1	0	35	14.3	09:45	90	2	0	2	0	0	23	2	3	3	2	1	1	0	0	0	0	0	193
54	Boyle, Brian	MEM	LW	73	18	6	24	-14	38	7	1	4	0	123	14.6	13:30	90	4	4	0	0	0	31	1	2	3	4	4	5	0	1	1	0	2	1
55	Bozak, Tyler	GRE	C	72	13	25	38	-3	20	2	0	3	0	141	9.2	16:15	90	4	0	0	0	0	21	3	4	4	3	2	1	0	0	0	0	4	58
56	Brassard, Derick	ATL	C	70	14	9	23	-19	39	2	0	0	0	110	12.7	15:00	90	2	2	2	0	0	25	4	4	3	2	3	2	0	0	0	0	2	10
57	Bratt, Jesper	MIL	RW	51	8	25	33	-8	6	1	0	1	0	91	8.8	15:15	90	0	3	3	0	0	10	3	4	4	3	2	1	0	0	0	0	0	313
58	Brickley, Connor	 	RW	14	1	3	4	3	9	0	0	0	0	18	5.6	09:00	90	0	2	2	0	0	10	2	3	2	1	3	3	0	0	0	0	0	116
59	Brodziak, Kyle	 	C	70	6	3	9	-14	33	0	1	2	0	74	8.1	11:45	90	3	0	0	0	0	15	2	2	2	2	3	3	0	0	0	0	3	0
60	Brodzinski, Jonny	 	RW	13	2	1	3	0	2	0	0	0	0	17	11.8	10:00	90	0	0	1	0	0	13	2	3	2	2	2	2	0	0	0	0	0	14
61	Brouwer, Troy	 	RW	75	12	9	21	-6	47	0	1	1	0	86	14.0	12:45	90	0	4	4	0	0	23	3	2	2	3	5	4	0	0	0	0	0	16
62	Buchnevich, Pavel	AUG	RW	64	21	17	38	-10	13	7	0	1	0	119	17.6	15:15	90	0	2	2	0	0	27	4	4	4	4	2	2	0	0	0	0	0	23
63	Burakovsky, Andre	AUG	LW	76	12	13	25	2	14	1	0	4	0	100	12.0	11:15	90	0	1	1	0	0	20	4	4	3	3	2	1	0	0	0	0	0	29
64	Byron, Paul	WIT	LW	56	15	16	31	16	17	0	2	3	0	94	16.0	14:30	90	0	3	3	0	0	25	3	3	3	3	4	4	0	0	0	0	0	65
65	Bishop, Clark	 	C	20	1	2	3	-3	6	0	0	0	0	16	6.3	09:30	90	2	0	0	0	0	15	2	2	2	2	3	3	0	0	0	0	1	13
66	Brown, Connor	SFC	RW	82	8	21	29	11	16	0	0	0	0	85	9.4	13:45	90	0	3	3	0	0	6	3	3	4	2	2	1	0	1	0	0	0	37
67	McLeod, Cody	 	LW	38	1	0	1	-13	67	0	0	0	0	22	4.5	06:30	90	0	2	2	0	0	8	1	2	1	1	4	5	0	0	0	0	0	0
68	Smith, Craig	WIT	RW	76	21	17	38	11	20	4	0	2	0	205	10.2	15:15	90	0	0	3	0	0	23	3	4	3	4	3	2	0	0	0	0	0	25
69	Wagner, Chris	MEM	RW	76	12	7	19	3	51	0	0	1	0	135	8.9	13:30	90	0	4	4	0	0	15	3	3	2	5	5	3	0	0	0	0	0	3
70	Wilson, Colin	OKL	RW	65	12	15	27	-6	8	5	0	2	0	104	11.5	13:30	90	0	3	3	0	0	16	4	4	3	3	3	2	0	0	0	0	0	39
71	Caggiula, Drake	SFC	LW	55	12	11	23	-5	28	0	1	2	0	96	12.5	14:30	90	0	3	3	0	0	27	4	3	3	3	4	4	0	0	0	0	0	64
72	Callahan, Ryan	 	RW	52	7	10	17	7	14	1	0	3	0	76	9.2	11:15	90	0	0	4	0	0	22	3	3	3	4	3	4	0	0	0	0	0	31
73	Calvert, Matt	 	RW	82	11	15	26	-10	58	1	0	0	0	141	7.8	14:15	90	0	0	3	0	0	15	3	3	3	5	3	3	0	0	0	0	0	22
74	Carey, Paul	 	C	7	0	0	0	0	0	0	0	0	0	4	0.0	10:45	90	2	2	2	0	0	3	2	3	2	2	2	1	0	0	0	0	0	0
75	Carpenter, Ryan	 	C	68	5	13	18	-6	8	0	1	0	0	102	4.9	12:30	90	3	3	3	0	0	7	3	3	3	4	3	3	0	0	0	0	2	19
76	Carrier, William	 	LW	54	8	1	9	-4	29	0	0	1	0	85	9.4	10:00	90	0	3	0	0	0	15	2	3	1	4	5	3	0	0	0	0	0	0
77	Carter, Jeff	ATL	C	76	13	20	33	-20	42	5	1	1	0	174	7.5	18:15	90	3	0	0	0	0	14	3	3	4	2	3	2	0	0	0	0	3	8
78	Cave, Colby	 	C	53	3	5	8	-5	16	0	0	1	0	58	5.2	12:15	90	2	0	0	0	0	12	2	2	2	2	3	2	0	0	0	0	2	13
79	Cehlarik, Peter	 	LW	20	4	2	6	3	6	1	0	1	0	30	13.3	12:30	90	0	2	0	0	0	17	3	3	2	2	1	1	0	0	0	0	0	4
80	Chaput, Michael	 	C	32	0	5	5	-4	14	0	0	0	0	31	0.0	11:15	90	3	0	0	0	0	3	2	3	2	3	4	2	0	0	0	0	2	20
81	Chartier, Rourke	 	C	13	1	0	1	-5	2	0	0	0	0	19	5.3	09:30	90	2	0	2	0	0	7	3	2	1	1	3	2	0	0	0	0	1	0
82	Chiasson, Alex	SFC	RW	73	22	16	38	-1	32	8	1	1	0	123	17.9	17:00	90	0	0	2	0	0	17	3	3	3	4	3	2	0	1	0	0	0	7
83	Chytil, Filip	SFC	LW	75	11	12	23	-22	8	3	0	2	0	133	8.3	13:45	90	2	2	2	0	0	11	4	4	4	2	2	1	0	0	0	0	0	14
84	Cirelli, Anthony	OAK	C	82	19	20	39	25	34	0	5	5	0	123	15.4	14:45	90	4	0	0	0	0	24	3	5	4	4	3	3	0	0	1	0	3	17
85	Cizikas, Casey	AUG	C	73	20	13	33	22	36	0	2	3	0	111	18.0	14:00	90	4	0	0	0	0	22	3	4	3	4	4	4	0	0	1	1	3	24
86	Smith, C.J.	 	LW	11	2	0	2	0	0	0	0	1	0	18	11.1	10:45	90	0	2	0	0	0	21	2	2	1	1	1	1	0	0	0	0	0	0
87	Clifford, Kyle	 	LW	72	11	10	21	4	96	1	0	2	0	115	9.6	10:30	90	0	3	3	0	0	19	2	2	3	3	4	4	0	0	0	0	0	44
88	Clutterbuck, Cal	 	RW	73	8	15	23	6	44	3	0	2	0	95	8.4	14:00	90	0	0	3	0	0	8	2	3	3	5	4	5	0	0	0	0	0	20
89	Cogliano, Andrew	SCS	LW	78	6	11	17	1	22	1	0	1	0	106	5.7	12:30	90	0	4	0	0	0	9	4	4	3	4	3	2	0	0	0	0	0	20
90	Coleman, Blake	SCS	RW	78	22	14	36	-19	71	3	3	3	0	213	10.3	17:00	90	0	4	4	0	0	17	3	4	3	5	4	5	0	0	1	0	1	15
91	Comeau, Blake	OKL	RW	77	7	11	18	-7	42	0	0	2	0	102	6.9	15:45	90	0	4	4	0	0	5	3	4	3	3	5	3	0	0	1	0	0	14
92	Compher, J.T.	VIC	RW	66	16	16	32	-8	31	4	3	3	0	118	13.6	17:30	90	4	0	4	0	0	20	3	4	3	4	2	2	0	0	0	0	3	23
93	Comtois, Max	WIT	LW	10	2	5	7	3	7	0	0	1	0	9	22.2	14:30	90	0	2	0	0	0	34	3	4	3	2	4	3	0	0	0	0	0	311
94	Condra, Erik	 	RW	6	1	0	1	-2	2	0	0	0	0	10	10.0	12:45	90	0	0	2	0	0	16	1	2	1	1	2	1	0	0	0	0	0	0
95	Connolly, Brett	GRE	RW	81	22	24	46	13	24	1	0	5	0	139	15.8	13:15	90	0	2	2	0	0	25	3	3	3	2	2	2	0	0	0	0	0	99
96	Connor, Kyle	OAK	LW	82	34	32	66	-7	18	11	1	5	0	227	15.0	19:15	90	0	2	0	0	0	23	4	5	4	3	1	1	0	0	0	0	0	39
97	Copp, Andrew	STA	C	69	11	14	25	20	6	0	1	2	0	82	13.4	12:15	90	4	4	0	0	0	21	3	3	3	4	3	2	0	0	0	0	3	23
98	Cousins, Nick	CHY	C	81	7	20	27	-8	35	1	0	2	0	144	4.9	13:30	90	3	3	3	0	0	7	3	3	3	4	4	3	0	0	0	0	1	46
99	Couture, Logan	KEL	C	81	27	43	70	-6	22	6	2	3	0	204	13.2	18:30	90	5	5	0	0	0	22	4	4	5	5	3	2	0	0	1	0	1	82
100	Couturier, Sean	CHY	C	80	33	43	76	2	34	8	1	5	0	223	14.8	22:15	90	5	0	0	0	0	11	4	3	4	5	2	2	0	1	1	0	5	28
101	Coyle, Charlie	KEL	C	81	12	22	34	-1	20	1	1	2	0	155	7.7	16:45	90	4	0	4	0	0	6	4	4	4	4	3	2	0	0	0	0	2	32
102	Crosby, Sidney	STA	C	79	35	65	100	18	36	12	0	3	0	220	15.9	21:00	90	3	0	0	0	0	27	5	5	5	4	3	3	0	0	0	0	5	144
103	Crouse, Lawson	GRE	LW	81	11	14	25	5	67	0	2	1	0	131	8.4	13:00	90	0	4	0	0	0	13	3	3	2	3	5	4	0	0	0	0	0	44
104	Cullen, Matt	SCS	C	71	7	13	20	6	14	0	2	2	0	87	8.0	11:30	90	4	4	0	0	0	12	2	2	3	4	2	1	0	0	1	0	3	47
105	Currie, Josh	 	RW	21	2	3	5	2	2	0	0	0	0	19	10.5	08:45	90	0	0	2	0	0	21	1	3	2	1	3	3	0	0	0	2	0	58
106	Czarnik, Austin	 	RW	54	6	12	18	-1	8	0	0	3	0	65	9.2	11:15	90	0	2	2	0	0	14	3	3	3	4	1	1	0	0	0	0	0	41
107	Archibald, Darren	 	LW	12	1	1	2	-3	12	0	0	0	0	10	10.0	07:30	90	0	2	2	0	0	16	2	2	1	2	3	4	0	0	0	0	0	34
108	Brown, Dustin	GRE	RW	72	22	29	51	-17	24	9	1	3	0	180	12.2	20:30	90	0	0	4	0	0	23	3	3	4	5	5	4	0	0	0	0	0	77
109	Hunt, Dryden	 	LW	31	3	7	10	0	8	0	0	0	0	53	5.7	11:00	90	0	2	2	0	0	12	3	2	3	2	4	3	0	0	0	0	0	74
110	Ryan, Derek	CIN	C	81	13	25	38	21	24	2	0	1	0	103	12.6	13:45	90	4	0	0	0	0	19	3	4	3	3	1	1	0	0	0	0	4	38
111	Strome, Dylan	OAK	C	78	20	37	57	-8	20	6	0	3	0	145	13.8	16:15	90	1	1	0	0	0	33	4	3	4	2	2	1	0	0	0	0	2	127
112	Dadonov, Evgenii	SEA	RW	82	28	42	70	-6	8	8	0	4	0	195	14.4	18:15	90	0	2	2	0	0	25	4	5	5	3	2	2	0	0	0	0	0	143
113	Dal Colle, Michael	VIC	LW	28	3	4	7	3	2	0	0	2	0	34	8.8	12:00	90	0	2	2	0	0	7	3	4	3	1	2	1	0	0	0	0	0	20
114	Danault, Phillip	MEM	C	81	12	41	53	17	39	0	0	1	0	132	9.1	17:45	90	4	0	0	0	0	14	3	4	4	4	3	2	0	0	1	0	5	144
115	Dano, Marko	 	LW	8	0	0	0	-1	7	0	0	0	0	3	0.0	07:00	90	0	2	2	0	0	3	3	2	2	1	2	2	0	0	0	0	0	0
116	de La Rose, Jacob	 	C	60	3	6	9	-13	16	0	0	0	0	55	5.5	11:30	90	3	3	0	0	0	8	2	3	2	3	3	2	0	0	0	0	1	6
117	Dea, J.S.	 	RW	23	4	2	6	0	8	0	0	1	0	29	13.8	10:15	90	2	0	2	0	0	39	3	3	2	1	2	1	0	0	0	0	2	13
118	DeBrincat, Alex	OKL	LW	82	41	35	76	0	15	13	0	3	0	220	18.6	17:45	90	0	2	2	0	0	34	4	5	4	3	3	1	0	0	0	0	0	67
119	Debrusk, Jake	VIC	RW	68	27	15	42	2	18	8	0	4	0	156	17.3	16:15	90	0	3	3	0	0	16	4	5	4	3	3	2	0	1	0	0	0	12
120	Deslauriers, Nicolas	 	LW	48	2	3	5	-12	22	0	1	0	0	48	4.2	10:00	90	0	2	2	0	0	5	3	2	1	3	5	5	0	0	0	0	0	3
121	Di Giuseppe, Phillip	 	RW	24	1	3	4	-3	8	0	0	0	0	31	3.2	10:15	90	0	2	2	0	0	11	2	2	2	2	4	3	0	0	0	0	0	39
122	Dickinson, Jason	LSB	C	67	6	16	22	9	23	0	0	2	0	94	6.4	13:15	90	4	4	0	0	0	9	3	3	3	2	3	2	0	0	0	0	1	97
123	Domi, Max	MSG	C	82	28	44	72	20	80	4	0	2	0	203	13.8	17:30	90	2	0	0	0	0	22	5	4	4	4	2	3	0	0	0	0	1	98
124	Donato, Ryan	KEL	LW	56	10	15	25	-15	6	3	0	1	0	139	7.2	13:45	90	0	2	2	0	0	10	4	3	3	2	2	1	0	0	0	0	0	160
125	Donskoi, Joonas	LSB	RW	80	14	23	37	10	10	1	0	4	0	115	12.2	13:30	90	0	3	3	0	0	15	4	4	4	3	2	1	0	0	0	0	0	54
126	Dowd, Nic	 	C	64	8	14	22	10	20	0	0	3	0	47	17.0	10:15	90	4	0	0	0	0	28	3	3	4	3	3	2	0	0	0	0	2	61
127	Dowling, Justin	 	RW	11	0	1	1	-4	0	0	0	0	0	9	0.0	12:45	90	2	0	2	0	0	3	2	3	2	1	2	1	0	0	0	0	2	11
128	Draisaitl, Leon	CIN	LW	82	50	55	105	2	52	16	3	5	0	231	21.6	22:30	90	3	3	0	0	0	32	5	4	5	4	2	2	0	0	0	0	3	157
129	Dries, Sheldon	 	C	40	3	3	6	-7	26	0	1	0	0	44	6.8	09:00	90	2	2	0	0	0	9	2	3	2	2	3	2	0	0	0	0	2	7
130	Drouin, Jonathan	OKL	LW	81	18	35	53	-8	26	3	0	3	0	190	9.5	17:00	90	1	1	0	0	0	14	4	5	4	2	2	1	0	0	0	0	0	84
131	Dube, Dillon	IND	LW	25	1	4	5	2	4	0	0	0	0	22	4.5	10:00	90	3	3	0	0	0	5	3	3	3	2	1	1	0	0	0	0	0	37
132	Dubinsky, Brandon	SCS	C	61	6	8	14	-16	36	0	0	0	0	63	9.5	12:15	90	4	4	0	0	0	18	3	3	3	5	4	4	0	0	0	0	4	1
133	Dubois, Pierre-Luc	SEA	C	82	27	34	61	16	64	2	0	5	0	174	15.5	17:45	90	3	0	0	0	0	33	4	4	4	3	4	3	0	0	0	0	1	34
134	Duchene, Matt	SCS	C	73	31	39	70	-3	8	6	0	1	0	172	18.0	18:45	90	2	0	0	0	0	31	4	5	5	3	1	2	0	0	0	0	5	54
135	Duclair, Anthony	ATL	RW	74	19	14	33	-2	14	7	0	3	0	132	14.4	12:45	90	0	2	2	0	0	26	4	4	3	2	2	1	0	0	0	0	0	24
136	Dvorak, Christian	MSG	C	20	2	5	7	-2	2	1	0	1	0	25	8.0	14:30	90	2	0	0	0	0	17	3	4	4	2	2	1	0	0	0	0	4	12
