1	"Kempe, Adrian"	SFC	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
2	"Nylander, Alex"	AUG	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
3	"Wagner, Austin"	AUG	LW	73	15	13	28	7	18	0	1	4	0	107	14.0	885	12.1	1	4	5	20.0	217	75	292	74.3	54	47	101	53.5	0	0	0	0	0.0	87	1.19	0	0.000	1	2	6	3	0	0	0	0	0	0	2019-20	Regular	Rookie
4	"Abdelkader, Justin"	GRE	LW	57	3	7	10	-7	15	0	1	0	0	42	7.1	525	9.2	17	16	33	51.5	133	41	174	76.4	29	27	56	51.8	1	0	0	1	100.0	69	1.21	0	0.000	0	2	5	0	0	1	0	0	0	0	2019-20	Regular	Veteran
5	"Aberg, Pontus"	ATL	RW	25	0	3	3	-14	2	0	0	0	0	23	0.0	257	10.3	2	5	7	28.6	51	19	70	72.9	18	16	34	52.9	0	0	0	0	0.0	17	0.68	1	0.040	0	2	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
6	"Acciari, Noel"	IND	C	60	6	5	11	3	30	0	0	2	0	48	12.5	547	9.1	14	20	34	41.2	93	52	145	64.1	43	32	75	57.3	0	0	0	0	0.0	79	1.32	1	0.017	0	2	4	1	4	0	0	0	0	0	2019-20	Regular	Veteran
7	"Agostino, Kenny"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
8	"Agozzino, Andrew"		C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
9	"Aho, Sebastian"	MIL	C	82	43	46	89	38	48	12	0	11	1	331	13.0	1669	20.4	93	92	185	50.3	788	121	909	86.7	99	100	199	49.7	0	0	0	0	0.0	113	1.38	2	0.024	0	7	24	0	0	0	0	0	0	0	2019-20	Regular	Veteran
10	"Amadio, Michael"		C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
11	"Andrighetto, Sven"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
12	"Anisimov, Artem"	CIN	C	71	4	8	12	-10	10	0	0	1	0	48	8.3	500	7.0	173	250	423	40.9	146	46	192	76.0	35	33	68	51.5	0	0	0	0	0.0	33	0.46	0	0.000	0	3	2	3	0	0	0	0	0	0	2019-20	Regular	Veteran
13	"Appleton, Mason"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
14	"Armia, Joel"	MSG	RW	62	8	4	12	-8	12	0	2	4	0	92	8.7	659	10.6	58	126	184	31.5	142	67	209	67.9	49	37	86	57.0	0	0	0	0	0.0	83	1.34	0	0.000	1	2	5	1	0	0	0	0	0	0	2019-20	Regular	Veteran
