Grzelcyk, Matt	1.400	1.400	RFA		
Gudas, Radko	3.350	3.350	UFA		
Gudbranson, Erik	4.000	4.000	4.000	UFA	
Guhle, Brendan	0.888	0.888	RFA		
Gunnarsson, Carl	2.900	1.750	1.750	UFA	
Gustafsson, Erik	1.200	1.200	UFA		
Hagg, Robert	1.150	1.150	RFA		
Hainsey, Ron	3.000	3.500	UFA		
Hajek, Libor	0.894	0.894	0.894	RFA	
Hamhuis, Dan	1.250	1.250	UFA		
Hamilton, Dougie	5.750	5.750	5.750	UFA	
Hamonic, Travis	3.857	3.857	UFA		
Hanifin, Noah	4.950	4.950	4.950	4.950	4.950
Hanley, Joel	0.650	0.700	0.700	UFA	
Harpur, Ben	0.725	0.725	RFA		
Harrington, Scott	0.675	1.633	1.633	1.633	UFA
Heatherington, Dillon	0.650	0.700	RFA		
Hedman, Victor	7.875	7.875	7.875	7.875	7.875
Heed, Tim	0.650	0.960	UFA		
Heinola, Ville	FINLAND	1.138	1.138	1.138	RFA
Heiskanen, Miro	3.394	3.394	3.394	RFA	
Helgeson, Seth	0.675	0.675	UFA		
Hicketts, Joe	0.635	0.700	0.700	RFA	
Hickey, Brandon	0.925	0.925	RFA		
Hickey, Thomas	2.500	2.500	2.500	2.500	UFA
Hjalmarsson, Niklas	4.100	5.000	5.000	UFA	
Holden, Nick	2.200	2.200	UFA		
Holl, Justin	0.675	0.675	UFA		
Holzer, Korbinian	0.900	0.850	UFA		
Honka, Julius	1.363	RFA			
Hronek, Filip	0.913	0.913	0.913	RFA	
Hughes, Quintin	1.604	1.604	1.604	RFA	
Hunt, Brad	0.650	0.700	0.700	UFA	
Hunwick, Matt	2.250	2.250	UFA		
Hutton, Ben	2.800	1.500	UFA		
Irwin, Matt	0.675	0.675	UFA		
Jaros, Christian	0.802	0.802	RFA		
Jensen, Nick	0.813	2.500	2.500	2.500	2.500
Johns, Stephen	2.350	2.350	2.350	UFA	
Johnson, Erik	6.000	6.000	6.000	6.000	6.000
Johnson, Jack	3.250	3.250	3.250	3.250	3.250
Jokiharju, Henri	1.279	1.279	1.279	RFA	
Jones, Caleb	0.815	0.815	RFA		
Jones, Seth	5.400	5.400	5.400	5.400	UFA
Josi, Roman	4.000	4.000	9.059	9.059	9.059
Juulsen, Noah	1.063	1.063	RFA		
Kampfer, Steven	0.650	0.800	0.800	UFA	
Karlsson, Erik	6.500	11.500	11.500	11.500	11.500
Keith, Duncan	5.538	5.538	5.538	5.538	5.538
Kempny, Michal	2.500	2.500	2.500	2.500	UFA
Klefbom, Oscar	4.167	4.167	4.167	4.167	4.167
Klingberg, John	4.250	4.250	4.250	4.250	UFA
Koekkoek, Slater	0.865	0.925	RFA		
Kronwall, Niklas	4.750	RETIRED			
Krug, Torey	5.250	5.250	UFA		
Kukan, Dean	0.725	0.725	RFA		
Kulak, Brett	0.900	1.850	1.850	1.850	UFA
Kulikov, Dmitry	4.333	4.333	UFA		
Kylington, Oliver	0.863	0.863	RFA		
LaDue, Paul	0.825	0.825	UFA		
Lajoie, Maxime	0.780	0.780	0.780	RFA	
Larsson, Adam	4.167	4.167	4.167	UFA	
Larsson, Jacob	0.894	0.894	RFA		
Lashoff, Brian	0.650	0.700	0.700	UFA	
Lauzon, Jeremy	0.872	0.872	RFA		
Leddy, Nick	5.500	5.500	5.500	5.500	UFA
Lernout, Brett	0.825	0.700	RFA		
Letang, Kris	7.250	7.250	7.250	7.250	UFA
Lindell, Esa	2.200	5.800	5.800	5.800	5.800
Lindholm, Anton	0.925	0.743	0.743	RFA	
Lindholm, Hampus	5.206	5.206	5.206	5.206	UFA
Lovejoy, Ben	2.667	RETIRED			
Lowe, Keegan	0.675	0.675	UFA		
Lyubushkin, Ilya	1.350	0.874	RFA		
Maatta, Olli	4.083	4.083	4.083	4.083	UFA
MacDermid, Kurtis	0.675	0.675	RFA		
MacDonald, Andrew	5.000	UFA			
Mahura, Josh	0.911	0.911	0.911	RFA	
Makar, Cale	2.854	2.854	2.854	RFA	
Manning, Brandon	2.250	2.250	UFA		
Manson, Josh	4.100	4.100	4.100	4.100	UFA
Marincin, Martin	0.800	0.700	UFA		
Marino, John	NCAA	1.775	1.775	RFA	
Martinez, Alec	4.000	4.000	4.000	UFA	
Matheson, Michael	4.875	4.875	4.875	4.875	4.875
Mayfield, Scott	1.450	1.450	1.450	1.450	1.450
McAvoy, Charlie	1.258	4.900	4.900	4.900	RFA
McCabe, Jake	1.600	2.850	2.850	UFA	
McCoshen, Ian	1.025	0.700	RFA		
McDonagh, Ryan	4.700	6.750	6.750	6.750	6.750
McIlrath, Dylan	0.650	0.700	0.700	UFA	
McKeown, Roland	0.894	0.700	RFA		
McNabb, Brayden	2.500	2.500	2.500	2.500	UFA
McQuaid, Adam	2.750	UFA			
Megna, Jaycob	0.650	0.700	UFA		
Melchiori, Julian	0.700	UFA			
Mermis, Dakota	0.700	0.700	RFA		
Merrill, Jon	1.375	1.375	UFA		
Mete, Victor	0.870	0.870	RFA		
Methot, Marc	4.900	UFA			
Miller, Colin	3.875	3.875	3.875	3.875	UFA
Miller, Kevan	2.500	2.500	UFA		
Mironov, Andrei	0.925	KHL			
Montour, Brandon	3.388	3.388	RFA		
Moore, John	2.750	2.750	2.750	2.750	2.750
Morin, Samuel	0.700	0.700	0.700	RFA	
Morrissey, Josh	3.150	3.150	6.250	6.250	6.250
Morrow, Joe	1.000	0.700	UFA		
Mueller, Mirco	0.850	1.400	RFA		
Murphy, Connor	3.850	3.850	3.850	3.850	UFA
Murphy, Ryan	0.650	UFA			
Murray, Ryan	2.825	4.600	4.600	UFA	
Muzzin, Jake	4.000	4.000	UFA		
Myers, Philippe	0.679	0.679	RFA		
Myers, Tyler	5.500	6.000	6.000	6.000	6.000
Nelson, Casey	0.813	0.813	UFA		
Nemeth, Patrik	2.500	3.000	3.000	UFA	
Ness, Aaron	0.650	0.725	0.725	UFA	
Niku, Sami	0.917	0.917	RFA		
Niskanen, Matt	5.750	5.750	5.750	UFA	
Nogier, Nelson	0.772	0.700	RFA		
Nurse, Darnell	3.200	3.200	RFA		
Nutivaara, Markus	2.700	2.700	2.700	2.700	UFA
Oesterle, Jordan	0.650	1.400	1.400	UFA	
O'Gara, Rob	0.874	UFA			
Oleksiak, Jamie	2.138	2.138	2.138	UFA	
Olofsson, Gustav	0.725	0.700	RFA		
Orlov, Dmitry	5.100	5.100	5.100	5.100	5.100
Orpik, Brooks	1.500	RETIRED			
