A. Kempe, Adrian	SFC	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
A. Nylander, Alexander*	AUG	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
A. Wagner, Austin*	AUG	LW	12	4	0	4	4	0	0	0	2	0	17	23.5	117	9.8	0	2	2	0.0	36	9	45	80.0	12	6	18	66.7	0	0	0	0	0.0	16	1.33	0	0.000	1	1	0	0	0	0	0	0	0	0	2019-20	Regular
Abdelkader, Justin	GRE	LW	10	0	2	2	2	0	0	0	0	0	10	0.0	89	8.9	5	5	10	50.0	17	8	25	68.0	4	2	6	66.7	0	0	0	0	0.0	14	1.40	0	0.000	0	1	0	0	0	0	0	0	0	0	2019-20	Regular
Aberg, Pontus		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Acciari, Noel	IND	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Agostino, Kenny	LSB	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Agozzino, Andrew		C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Aho, Sebastian	MIL	C	18	8	13	21	11	10	3	0	1	0	61	13.1	377	20.9	31	33	64	48.4	175	23	198	88.4	15	28	43	34.9	0	0	0	0	0.0	22	1.22	0	0.000	3	7	5	0	0	0	0	0	0	0	2019-20	Regular
Amadio, Michael	OAK	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Andrighetto, Sven		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Anisimov, Artem	CIN	C	18	2	2	4	-5	4	0	0	1	0	13	15.4	138	7.7	51	78	129	39.5	52	11	63	82.5	9	6	15	60.0	0	0	0	0	0.0	7	0.39	0	0.000	1	1	2	0	0	0	0	0	0	0	2019-20	Regular
