PEO	1
SEA	2
CIN	3
WIT	4
GRE	5
SFC	6
OKL	7
KEL	8
STA	9
SCS	10
MEM	11
VIC	12
AUG	13
LSB	14
IND	15
MSG	16
MIL	17
ATL	18
CHY	19
OAK	20
