DeSmith, Casey	MIL	36	1944	2.75	15	11	5	8	3	89	971	1060	0.916	0	0	0	2	2	3	2
Domingue, Louis	 	26	1561	2.88	21	5	0	0	0	75	737	812	0.908	0	1	1	4	4	3	3
Dubnyk, Devan	SEA	67	3855	2.54	31	28	6	12	2	163	1714	1877	0.913	0	2	2	2	3	3	2
Elliott, Brian	 	26	1397	2.96	11	11	1	4	1	69	672	741	0.907	0	1	1	2	3	3	2
Georgiev, Alexandar	AUG	33	1874	2.91	14	13	4	5	2	91	966	1057	0.914	0	2	2	2	4	4	2
Gibson, John	SCS	58	3233	2.84	26	22	8	8	2	153	1685	1838	0.917	0	0	0	2	3	4	2
Greiss, Thomas	OAK	43	2294	2.28	23	14	2	6	5	87	1098	1185	0.927	0	1	1	4	4	3	3
Grubauer, Philipp	GRE	37	2021	2.64	18	9	5	4	3	89	982	1071	0.917	0	0	0	0	4	3	3
Halak, Jaroslav	IND	40	2308	2.34	22	11	4	7	5	90	1068	1158	0.922	0	4	4	0	3	3	3
Hart, Carter	MSG	31	1717	2.83	16	13	1	4	0	81	895	976	0.917	0	0	0	0	3	4	4
Hellebuyck, Connor	CIN	63	3704	2.90	34	23	3	8	2	179	1872	2051	0.913	0	3	3	4	4	5	2
Hill, Adin	 	13	696	2.76	7	5	0	3	1	32	290	322	0.901	0	0	0	0	3	3	2
Holtby, Braden	LSB	59	3407	2.82	32	19	5	10	3	160	1635	1795	0.911	0	2	2	2	3	4	3
Howard, Jimmy	LSB	55	3053	3.07	23	22	5	8	0	156	1553	1709	0.909	0	1	1	2	4	3	2
Hutchinson, Michael	 	9	496	3.27	3	4	2	0	1	27	212	239	0.887	0	0	0	0	2	3	2
Khudobin, Anton	PEO	41	2220	2.57	16	17	5	2	2	95	1137	1232	0.923	0	0	0	2	5	4	2
Kinkaid, Keith	VIC	41	2302	3.36	15	18	6	8	3	129	1059	1188	0.891	0	0	0	0	4	3	4
Korpisalo, Joonas	CIN	27	1361	2.95	10	7	3	4	0	67	584	651	0.897	0	0	0	0	4	4	2
Koskinen, Mikko	PEO	55	2992	2.93	25	21	6	8	4	146	1405	1551	0.906	0	2	2	2	4	2	2
Kuemper, Darcy	STA	55	3251	2.33	27	20	8	4	5	126	1550	1676	0.925	0	2	2	14	3	3	3
Lehner, Robin	MIL	46	2616	2.13	25	13	5	4	6	93	1230	1323	0.930	0	1	1	0	5	4	3
Lundqvist, Henrik	 	52	3089	3.07	18	23	10	13	0	158	1541	1699	0.907	0	3	3	0	3	3	2
Luongo, Roberto	 	43	2347	3.12	18	16	5	8	1	122	1083	1205	0.899	0	1	1	0	3	2	2
