5	5	5	5	5	5	2020
12	14	12	16	3	12	2020
15	15	15	15	15	15	2020
18	12	12	16	16	18	2020
17	8	11	8	6	7	2020
14	14	13	11	14	14	2020
8	12	15	8	8	8	2020
19	4	13	16	11	16	2020
7	11	9	11	2	7	2020
4	4	13	4	21	4	2020
9	12	53	5	9	9	2020
11	3	11	9	11	11	2020
16	11	16	16	16	16	2020
21	15	13	11	5	16	2020
6	15	53	13	6	6	2020
10	19	13	16	19	10	2020
3	53	3	13	11	3	2020
53	21	53	7	4	19	2020
13	8	8	13	19	7	2020
2	15	12	4	2	19	2020
5	5	5	5	5	5	2021
14	14	14	14	14	14	2021
18	18	18	18	18	18	2021
15	15	15	15	15	15	2021
3	3	3	3	3	3	2021
13	13	13	13	13	13	2021
17	17	17	17	17	17	2021
8	8	8	53	8	8	2021
12	53	12	12	12	12	2021
4	4	21	4	12	4	2021
10	10	10	19	10	10	2021
2	10	2	2	2	2	2021
9	19	9	19	9	9	2021
16	19	16	16	16	16	2021
7	19	7	7	7	7	2021
53	53	53	53	53	4	2021
11	11	53	53	11	11	2021
21	19	21	21	53	21	2021
19	19	19	19	19	21	2021
6	15	6	6	6	6	2021
