1297	6	304	3.16	2	1	1	0	0	16	111	127	0.874	0	0	0	0	3	3	2	2021-22
1321	25	1479	2.64	12	7	5	0	1	65	594	659	0.901	0	0	0	0	4	4	5	2021-22
1341	22	1219	2.85	11	9	2	0	2	58	508	566	0.898	0	0	0	0	3	3	2	2021-22
1344	12	679	3.36	5	5	2	0	0	38	363	401	0.905	0	0	0	0	3	3	2	2021-22
1354	24	1396	2.28	15	5	2	0	2	53	558	611	0.913	0	2	2	0	4	3	4	2021-22
1370	22	1331	2.66	15	5	2	0	0	59	568	627	0.906	0	0	0	0	4	3	3	2021-22
1382	24	1310	2.84	10	12	1	0	2	62	602	664	0.907	0	1	1	0	3	4	2	2021-22
1387	19	966	2.86	5	8	2	0	1	46	417	463	0.901	0	0	0	4	3	3	2	2021-22
1430	19	1093	2.69	13	4	1	0	2	49	450	499	0.902	0	1	1	0	3	4	3	2021-22
1440	36	2052	2.28	21	11	1	0	3	78	995	1073	0.927	0	0	0	8	4	4	2	2021-22
2029	35	1899	2.62	16	14	3	0	2	83	904	987	0.916	0	0	0	0	3	4	2	2021-22
1531	32	1847	2.31	21	6	2	0	3	71	850	921	0.923	0	2	2	2	2	3	5	2021-22
2186	22	1272	2.17	13	6	3	0	3	46	517	563	0.918	0	0	0	4	3	3	3	2021-22
1574	8	464	2.20	4	3	0	0	1	17	213	230	0.926	0	1	1	0	4	4	4	2021-22
1593	16	881	3.20	6	8	1	0	2	47	424	471	0.900	0	0	0	0	4	4	2	2021-22
2187	10	602	1.50	7	3	0	0	2	15	256	271	0.945	0	0	0	0	3	3	3	2021-22
1611	33	1961	2.63	19	8	5	0	2	86	922	1008	0.915	0	0	0	0	3	4	3	2021-22
1939	13	729	3.54	2	8	2	0	0	43	404	447	0.904	0	1	1	0	3	3	3	2021-22
1673	20	1117	2.63	9	6	3	0	0	49	542	591	0.917	0	0	0	0	4	3	3	2021-22
2188	37	2115	2.70	21	10	4	0	2	95	936	1031	0.908	0	0	0	0	3	3	3	2021-22
1687	36	2117	2.04	19	11	4	0	7	72	948	1020	0.929	0	1	1	2	4	3	2	2021-22
1690	42	2524	2.21	31	10	1	0	5	93	1144	1237	0.925	0	4	4	2	4	4	3	2021-22
2189	5	300	3.40	2	2	1	0	0	17	132	149	0.886	0	0	0	0	3	2	3	2021-22
1948	16	888	3.11	3	8	3	0	2	46	412	458	0.900	0	0	0	0	4	3	3	2021-22
