2	FA	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
4	IND	C	40	15	3	18	6	31	0	1	1	0	75	20.0	608	15.2	224	225	449	49.9	104	59	163	63.8	51	26	77	66.2	0	1	4	5	0.0	68	1.70	10	0.250	0	2	1	2	0	5	0	0	0	0	2020-21	Regular	Veteran
11	FA	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
12	MIL	C	40	21	11	32	1	46	4	0	2	0	134	15.7	821	20.5	46	71	117	39.3	300	48	348	86.2	72	48	120	60.0	0	0	0	0	0.0	71	1.78	2	0.050	2	6	22	1	0	0	0	0	0	0	2020-21	Regular	Veteran
19	FA	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
22	FA	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
23	MEM	RW	2	0	1	1	0	0	0	0	0	0	1	0.0	20	10.0	0	3	3	0.0	5	2	7	71.4	2	1	3	66.7	0	0	0	0	0.0	4	2.00	0	0.000	1	1	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
26	FA	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
27	GRE	RD	40	5	4	9	-23	34	1	0	1	0	61	8.2	764	19.1	0	0	0	0.0	203	63	266	76.3	38	81	119	31.9	0	0	0	0	0.0	39	0.98	0	0.000	0	0	14	3	0	0	0	0	0	0	2020-21	Regular	Veteran
28	FA	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
30	FA	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
32	VSJ	RW	1	0	0	0	0	0	0	0	0	0	0	0.0	11	11.0	0	0	0	0.0	4	0	4	100.0	1	1	2	50.0	0	0	0	0	0.0	1	1.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Veteran
34	MIL	RW	37	2	5	7	-8	2	0	0	1	0	23	8.7	409	11.1	11	12	23	47.8	82	24	106	77.4	24	23	47	51.1	0	0	0	0	0.0	33	0.89	2	0.054	0	2	1	0	0	0	0	0	0	0	2020-21	Regular	Veteran
36	SJV	RW	25	4	1	5	-3	2	0	0	0	0	36	11.1	274	11.0	3	5	8	37.5	55	25	80	68.8	23	9	32	71.9	0	0	0	0	0.0	32	1.28	0	0.000	0	1	1	0	0	0	0	0	0	0	2020-21	Regular	Veteran
41	SFC	RW	40	21	9	30	3	22	9	0	1	1	82	25.6	612	15.3	1	10	11	9.1	172	64	236	72.9	35	33	68	51.5	0	0	0	0	0.0	29	0.73	2	0.050	1	3	9	2	0	0	0	0	0	0	2020-21	Regular	Veteran
1806	FA	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2020-21	Regular	Rookie
43	ATL	LW	37	3	2	5	-3	12	0	0	1	0	41	7.3	326	8.8	2	2	4	50.0	75	38	113	66.4	21	30	51	41.2	0	0	0	0	0.0	46	1.24	0	0.000	0	1	6	0	0	0	0	0	0	0	2020-21	Regular	Veteran
