6	60	14	41	5	33	167	268	200	36	326	202	38	325	520	0	10	18	2	4	23	3	3	18	3	2	0	7	3	2	4	29	2	3	9	1	3	1667	2164	1770	1761	1308	1337	5879	1652	2	1	2021-22	Regular
7	60	17	37	6	40	186	267	185	37	292	212	48	331	521	6	11	16	3	6	21	3	6	15	3	2	2	11	5	0	0	29	1	6	3	5	2	2080	1885	1441	1484	1349	1355	6750	1754	7	0	2021-22	Regular
11	60	33	22	5	71	276	228	175	36	264	223	41	361	526	10	19	9	2	14	13	3	13	11	0	0	2	24	4	1	3	12	1	6	6	3	5	2510	548	2044	1701	1460	1289	7078	1722	0	1	2021-22	Regular
12	61	52	7	2	106	353	189	193	51	277	214	34	346	470	10	26	4	0	26	3	2	22	1	1	3	0	40	1	1	4	4	0	8	2	1	11	2961	3608	2277	1858	1383	1356	8354	1758	5	2	2021-22	Regular
15	60	42	13	5	89	240	155	197	40	323	185	22	309	436	12	24	3	3	18	10	2	11	10	3	2	2	35	1	1	4	7	1	3	5	3	11	2485	2135	2040	2069	1441	1437	8104	1641	0	5	2021-22	Regular
2	60	25	32	3	53	226	236	208	38	346	186	37	304	440	7	16	13	1	9	19	2	13	10	1	1	4	19	4	2	1	24	1	5	4	0	2	1817	1940	1982	2097	1427	1457	6346	1721	2	3	2021-22	Regular
3	60	31	25	4	66	214	196	215	45	328	207	33	336	481	6	17	10	3	14	15	1	15	6	3	0	3	25	4	0	3	19	2	3	2	2	4	1934	1815	1973	1714	1434	1381	6940	1614	5	5	2021-22	Regular
5	60	32	18	10	74	265	208	168	36	274	204	35	333	470	4	20	7	3	12	11	7	14	6	4	1	2	26	2	5	1	14	4	5	2	1	6	2304	2008	2116	1942	1366	1421	7600	1752	3	4	2021-22	Regular
19	60	10	44	6	26	134	247	230	32	387	158	37	242	367	2	7	18	5	3	26	1	8	13	3	1	1	6	2	3	1	36	1	3	6	2	3	1294	2141	1281	1640	1230	1361	4985	1384	2	0	2021-22	Regular
60	61	12	47	2	26	131	261	226	25	388	223	50	345	495	4	8	23	0	4	24	2	4	19	1	0	0	6	1	1	1	37	0	5	9	1	2	1446	2185	1762	2261	1495	1558	5870	1910	5	1	2021-22	Regular
8	61	23	30	8	54	183	204	210	31	360	190	34	328	453	3	17	9	4	6	21	4	10	13	1	0	1	20	0	2	1	24	1	2	6	5	3	2037	2458	1771	1958	1440	1495	6704	1774	7	3	2021-22	Regular
13	61	35	22	4	74	260	227	173	24	286	195	34	319	474	4	18	11	1	17	11	3	14	8	2	1	1	29	1	2	0	14	1	6	7	1	5	2151	705	1686	1999	1313	1272	6713	1532	1	0	2021-22	Regular
16	61	24	34	3	51	169	209	225	26	378	189	26	301	458	1	14	14	2	10	20	1	7	16	1	2	0	19	0	0	0	33	0	5	1	3	5	1796	1410	1756	1877	1491	1425	6315	1705	4	3	2021-22	Regular
53	61	30	29	2	62	214	219	197	40	315	214	30	357	543	8	13	15	2	17	14	0	11	13	0	4	1	22	1	0	1	24	1	7	4	1	5	2206	1217	1587	1505	1185	1303	6808	1581	0	1	2021-22	Regular
61	61	35	14	12	82	242	169	192	27	309	192	29	319	446	9	19	7	4	16	7	8	14	6	4	4	1	30	1	4	1	10	3	4	3	5	7	2365	1882	2185	2030	1454	1402	7255	1727	5	2	2021-22	Regular
4	61	39	18	4	82	273	174	174	46	266	206	30	339	524	4	21	9	1	18	9	3	15	7	2	1	4	32	0	0	3	15	0	4	3	4	6	2530	1983	1807	1836	1459	1363	7543	1654	2	8	2021-22	Regular
9	61	19	35	7	45	156	224	229	28	393	154	31	249	357	4	8	18	5	11	17	2	8	15	1	2	4	16	1	1	2	28	2	1	6	4	3	1823	2789	1769	1906	1458	1405	6232	1747	11	1	2021-22	Regular
10	61	22	31	8	52	212	223	179	31	296	204	40	334	451	6	18	9	4	4	22	4	8	13	3	4	2	18	2	2	0	24	6	4	5	0	3	1871	2251	1633	1640	1382	1401	6500	1688	2	1	2021-22	Regular
14	61	21	35	5	47	176	238	216	27	363	212	51	331	507	3	12	16	3	9	19	2	7	14	3	2	2	12	0	2	3	32	0	6	3	3	9	1719	2413	1885	1985	1348	1471	5973	1747	5	3	2021-22	Regular
21	61	36	18	7	79	235	170	186	41	284	208	26	346	480	4	18	7	6	18	11	1	17	6	1	1	1	31	1	1	1	13	3	4	4	3	8	2142	1803	1806	1296	1539	1403	7259	1749	4	5	2021-22	Regular
