1	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
1908	0.967	0.967	0.967	RFA																	
1324	1.775	RFA																			
1327	0.700	0.700	UFA																		
1328	0.800	UFA																			
1329	6.750	6.750	6.750	6.750	6.750	6.750	UFA														
1332	0.675	UFA																			
1333	FINLAND																				
1335	2.000	RFA																			
1338	UFA																				
1339	2.733	UFA																			
1340	0.750	0.750	RFA																		
1341	5.800	5.800	5.800	5.800	UFA																
1343	0.735	UFA																			
1344	4.250	4.250	UFA																		
1345	0.700	UFA																			
1346	6.250	6.250	6.250	UFA																	
1348	1.600	1.600	UFA																		
1349	3.789	3.789	3.789	UFA																	
1352	9.250	9.250	9.250	9.250	9.250	9.250	UFA														
1354	7.000	7.000	UFA																		
1353	4.000	4.000	4.000	UFA																	
1355	1.711	1.711	RFA																		
1357	KHL																				
1909	0.700	UFA																			
1360	UFA																				
1362	2.775	UFA																			
1368	1.500	1.500	UFA																		
1370	3.400	3.400	UFA																		
1910	UFA																				
1371	3.650	RFA																			
1911	0.874	RFA																			
1378	1.250	UFA																			
1379	0.700	UFA																			
1369	5.000	5.000	5.000	UFA																	
1380	0.850	RFA																			
1381	0.700	UFA																			
1382	5.000	5.000	UFA																		
1384	5.400	5.400	5.400	UFA																	
1385	1.000	RFA																			
1386	1.499	1.499	RFA																		
1387	2.750	2.750	UFA																		
1912	0.700	UFA																			
1391	0.874	0.975	0.975	RFA																	
1913	0.725	RFA																			
1914	UFA																				
1393	2.000	RFA																			
1398	0.700	UFA																			
1915	0.750	0.750	UFA																		
1399	1.107	RFA																			
1400	3.000	3.000	3.000	UFA																	
1401	1.133	1.133	UFA																		
1916	0.850	UFA																			
1403	0.700	0.700	RFA																		
1407	0.700	0.700	UFA																		
1411	4.000	4.000	UFA																		
1410	0.700	UFA																			
1917	0.700	UFA																			
1412	3.500	3.500	3.500	UFA																	
1413	1.300	UFA																			
1416	7.250	7.250	7.250	UFA																	
1417	3.125	3.125	UFA																		
1418	0.725	UFA																			
1419	UFA																				
1421	6.000	6.000	UFA																		
1422	0.700	UFA																			
1427	0.750	UFA																			
1430	1.475	1.475	RFA																		
1918	0.894	0.894	0.894	RFA																	
1433	1.500	1.500	RFA																		
1435	3.250	3.250	RFA																		
1436	1.417	1.417	RFA																		
1440	1.500	1.500	RFA																		
1919	KHL																				
1443	0.675	RFA																			
1445	4.250	4.250	UFA																		
1446	0.750	UFA																			
1447	4.000	UFA																			
1449	1.200	1.200	UFA																		
1452	1.900	UFA																			
1453	6.125	6.125	6.125	6.125	6.125	UFA															
1454	5.125	6.500	6.500	6.500	6.500	6.500	6.500	6.500	6.500	UFA											
1455	0.700	UFA																			
1920	KHL																				
1921	0.700	UFA																			
1456	UFA																				
1458	0.700	RFA																			
1457	5.850	5.850	5.850	5.850	5.850	5.850	5.850	UFA													
1459	5.950	5.950	5.950	5.950	5.950	5.950	UFA														
1922	UFA																				
1461	6.000	6.000	6.000	UFA																	
1463	KHL																				
1923	0.850	RFA																			
1467	5.500	UFA																			
1468	5.350	5.350	UFA																		
1471	6.875	6.875	6.875	6.875	6.875	UFA															
1474	KHL																				
1475	0.725	0.725	UFA																		
1477	9.850	9.850	9.850	9.850	9.850	9.850	9.850	9.850	UFA												
1478	RETIRED																				
1479	2.000	UFA																			
1482	0.825	RFA																			
1484	1.744	RFA																			
1487	4.167	4.167	4.167	4.167	UFA																
1924	0.700	0.700	UFA																		
1491	1.750	UFA																			
1492	3.900	3.900	3.900	UFA																	
1493	0.700	UFA																			
1494	0.900	UFA																			
1495	3.000	UFA																			
1497	0.925	RFA																			
1498	0.778	RFA																			
1925	UFA																				
1501	2.300	RFA																			
1499	0.750	UFA																			
1502	0.888	RFA																			
1926	0.700	RFA																			
1503	0.750	0.750	RFA																		
1504	5.250	5.250	5.250	5.250	5.250	UFA															
1507	0.675	2.250	2.250	2.250	2.250	UFA															
1508	5.000	UFA																			
1510	0.750	RFA																			
1927	0.675	UFA																			
1928	UFA																				
1511	2.857	2.857	2.857	2.857	2.857	2.857	2.857	UFA													
1514	9.000	9.000	9.000	9.000	9.000	9.000	9.000	9.000	UFA												
1515	5.250	5.250	5.250	5.250	5.250	UFA															
1519	5.300	5.300	5.300	5.300	5.300	5.300	UFA														
1532	UFA																				
1530	4.350	4.350	UFA																		
1526	0.700	0.700	RFA																		
1525	4.250	UFA																			
1929	0.700	UFA																			
1527	0.700	RFA																			
1930	KHL																				
1531	3.750	UFA																			
1528	5.000	5.000	5.000	UFA																	
1529	3.250	3.250	UFA																		
1536	3.500	UFA																			
1537	4.750	UFA																			
1539	1.500	1.500	UFA																		
1540	KHL																				
1541	0.750	RFA																			
1545	0.750	UFA																			
1931	0.936	RFA																			
1546	0.700	UFA																			
1547	KHL																				
1548	0.750	RFA																			
1549	5.188	7.575	7.575	7.575	7.575	7.575	7.575	7.575	UFA												
1551	3.250	3.250	UFA																		
1552	6.000	6.000	6.000	6.000	UFA																
1553	5.700	5.700	UFA																		
1554	UFA																				
1558	0.785	0.785	0.785	UFA																	
1559	8.500	8.500	8.500	8.500	8.500	UFA															
1562	6.500	6.500	UFA																		
1563	2.325	RFA																			
1565	0.863	0.863	RFA																		
1566	5.750	5.750	UFA																		
1568	RETIRED																				
1569	6.500	6.500	UFA																		
1932	0.919	RFA																			
1570	1.050	RFA																			
1571	0.754	UFA																			
1574	0.750	0.750	UFA																		
1577	9.500	9.500	9.500	9.500	9.500	9.500	9.500	9.500	UFA												
1578	0.700	UFA																			
1933	0.675	UFA																			
1582	5.500	5.500	5.500	UFA																	
1583	0.750	UFA																			
1585	3.338	RFA																			
1586	3.100	RFA																			
1934	0.874	RFA																			
1593	0.850	RFA																			
1592	9.000	9.000	9.000	UFA																	
1597	2.750	2.750	2.750	2.750	UFA																
1598	0.700	RFA																			
1599	KHL																				
1600	7.538	7.538	7.538	7.538	7.538	7.538	UFA														
1602	4.375	4.375	UFA																		
1604	1.326	1.326	1.326	RFA																	
1606	3.575	3.575	RFA																		
1935	1.076	RFA																			
1936	0.800	UFA																			
1611	2.750	UFA																			
1614	3.500	3.500	3.500	3.500	3.500	3.500	UFA														
1615	4.450	UFA																			
1616	UFA																				
1619	7.500	7.500	7.500	7.500	UFA																
1620	5.300	5.300	UFA																		
1621	11.000	11.000	11.000	11.000	11.000	11.000	UFA														
1625	0.700	0.700	UFA																		
1626	5.400	5.400	5.400	5.400	5.400	UFA															
1627	0.675	UFA																			
1628	1.492	RFA																			
1629	0.925	0.925	RFA																		
1630	5.200	5.200	5.200	5.200	5.200	5.200	UFA														
1633	1.178	1.178	RFA																		
1635	1.000	UFA																			
1937	0.675	UFA																			
1636	1.138	RFA																			
1637	UFA																				
1639	2.000	UFA																			
1640	2.938	RFA																			
1642	0.836	RFA																			
1938	0.925	0.925	RFA																		
1644	0.700	0.700	UFA																		
1648	3.425	3.425	RFA																		
1649	7.000	7.000	7.000	RFA																	
1652	0.700	RFA																			
1651	10.500	10.500	10.500	10.500	UFA																
1653	4.600	UFA																			
1939	UFA																				
1940	0.775	RFA																			
1659	4.750	4.750	4.750	UFA																	
1660	0.700	0.700	UFA																		
1661	8.000	8.000	8.000	8.000	8.000	8.000	8.000	UFA													
1663	4.750	4.750	4.750	4.750	4.750	4.750	4.750	UFA													
1667	6.000	6.000	6.000	6.000	6.000	UFA															
1669	0.925	0.925	RFA																		
1673	1.325	RFA																			
1941	UFA																				
1676	1.303	1.303	1.303	RFA																	
1942	0.700	RFA																			
1679	1.319	1.319	RFA																		
1681	7.000	7.000	7.000	7.000	UFA																
1682	2.300	UFA																			
1686	UFA																				
1687	5.000	5.000	5.000	5.000	UFA																
1688	0.700	UFA																			
1690	3.500	9.500	9.500	9.500	9.500	9.500	9.500	9.500	9.500	UFA											
1691	4.875	UFA																			
1692	2.530	2.530	2.530	UFA																	
1943	0.700	UFA																			
1694	0.700	RFA																			
1696	1.350	RFA																			
1944	1.461	1.461	1.461	RFA																	
1698	2.275	UFA																			
1701	1.250	RFA																			
1705	7.000	7.000	7.000	7.000	7.000	7.000	7.000	UFA													
1945	0.925	RFA																			
1708	8.250	8.250	8.250	8.250	8.250	UFA															
1709	0.925	RFA																			
1711	3.350	3.350	RFA																		
1714	0.925	RFA																			
1715	1.250	1.350	1.350	1.350	UFA																
1946	0.700	0.700	UFA																		
1717	0.745	RFA																			
1719	0.675	RFA																			
1724	RETIRED																				
1947	0.700	0.700	UFA																		
1726	1.100	1.500	1.500	1.500	UFA																
1727	1.400	1.400	UFA																		
1730	7.857	7.857	7.857	7.857	7.857	7.857	7.857	UFA													
1731	0.675	UFA																			
1948	0.700	UFA																			
1732	1.600	RFA																			
1735	2.350	UFA																			
1737	0.750	UFA																			
1740	4.900	4.900	4.900	4.900	UFA																
1741	5.000	5.000	5.000	RFA																	
1745	8.250	8.250	8.250	8.250	8.250	UFA															
1748	4.750	4.750	4.750	4.750	4.750	4.750	UFA														
1949	1.492	RFA																			
1753	0.700	UFA																			
1756	2.000	UFA																			
1759	2.600	UFA																			
1760	0.725	UFA																			
1761	1.050	UFA																			
1762	5.167	5.167	5.167	5.167	5.167	UFA															
1768	0.700	0.700	UFA																		
1770	0.900	0.900	RFA																		
1772	2.750	2.750	2.750	RFA																	
1774	0.700	0.700	UFA																		
1776	UFA																				
1778	1.155	RFA																			
1779	6.350	6.350	6.350	6.350	UFA																
1787	2.250	2.250	2.250	RFA																	
1950	1.775	1.775	RFA																		
1788	3.200	RFA																			
1789	4.500	4.500	4.500	4.500	4.500	UFA															
1790	5.750	5.750	UFA																		
1794	6.083	6.083	UFA																		
1797	5.350	5.350	5.350	UFA																	
1801	6.000	6.000	6.000	6.000	6.000	UFA															
1802	5.500	5.500	5.500	5.500	UFA																
1803	0.675	RFA																			
1099	0.874	RFA																			
1809	0.700	UFA																			
2025	0.700	0.700	UFA																		
84	0.817	RFA																			
2024	0.925	0.925	0.925	RFA																	
196	1.573	1.573	RFA																		
230	0.894	RFA																			
2023	1.350	RFA																			
538	1.350	RFA																			
2022	0.925	0.925	RFA																		
2021	0.863	0.863	0.863	RFA																	
2020	0.925	RFA																			
2019	0.925	RFA																			
2018	0.925	0.925	RFA																		
855	0.925	0.925	RFA																		
2017	0.925	RFA																			
2016	1.263	1.263	1.263	RFA																	
977	1.100	1.100	RFA																		
2015	0.925	0.925	RFA																		
2014	0.874	RFA																			
1056	0.700	0.700	UFA																		
1088	1.363	1.363	RFA																		
2012	0.735	RFA																			
2011	1.138	RFA																			
2010	1.492	1.492	RFA																		
1280	1.000	RFA																			
2009	0.815	0.815	0.815	RFA																	
2008	0.903	RFA																			
2007	0.913	0.913	RFA																		
2006	0.925	RFA																			
2005	0.900	0.900	RFA																		
2004	0.863	RFA																			
2003	0.800	0.800	RFA																		
1670	0.700	0.700	UFA																		
2002	1.628	1.628	1.628	RFA																	
2026	0.850	0.850	UFA																		
2027	0.925	RFA																			
2028	1.067	RFA																			
2029	3.775	3.775	RFA																		
