first	Last	1	FALSE	FALSE	FALSE	FALSE
Justin	Abdelkader	8471716	TRUE	FALSE	FALSE	TRUE
Pontus	Aberg	8476857	FALSE	FALSE	FALSE	TRUE
Noel	Acciari	8478569	TRUE	FALSE	FALSE	TRUE
Luke	Adam		FALSE	FALSE	FALSE	TRUE
Craig	Adams		FALSE	FALSE	FALSE	TRUE
Kevyn	Adams		FALSE	FALSE	FALSE	TRUE
David	Aebischer		FALSE	TRUE	FALSE	FALSE
Maxim	Afinogenov		FALSE	FALSE	FALSE	TRUE
Kenny	Agostino	8475844	FALSE	FALSE	FALSE	TRUE
Andrew	Agozzino	8475461	TRUE	FALSE	FALSE	TRUE
Sebastian	Aho	8478427	TRUE	FALSE	FALSE	TRUE
Andrew	Alberts		FALSE	FALSE	TRUE	FALSE
Daniel	Alfredsson	8460621	FALSE	FALSE	FALSE	TRUE
Bryan	Allen		FALSE	FALSE	TRUE	FALSE
Jake	Allen	8474596	TRUE	TRUE	FALSE	FALSE
Jason	Allison		FALSE	FALSE	FALSE	TRUE
Karl	Alzner	8473991	FALSE	FALSE	TRUE	FALSE
Michael	Amadio	8478020	TRUE	FALSE	FALSE	TRUE
Tony	Amonte		FALSE	FALSE	FALSE	TRUE
Frederik	Andersen	8475883	TRUE	TRUE	FALSE	FALSE
Joey	Anderson	8479315	TRUE	FALSE	FALSE	TRUE
Josh	Anderson	8476981	TRUE	FALSE	FALSE	TRUE
Craig	Anderson	8467950	TRUE	TRUE	FALSE	FALSE
Joakim	Andersson	8474168	FALSE	FALSE	FALSE	TRUE
Lias	Andersson	8480072	TRUE	FALSE	FALSE	TRUE
Rasmus	Andersson	8478397	TRUE	FALSE	TRUE	FALSE
Andy	Andreoff	8476404	TRUE	FALSE	FALSE	TRUE
Sven	Andrighetto		FALSE	FALSE	FALSE	TRUE
Artem	Anisimov	8473573	TRUE	FALSE	FALSE	TRUE
Nik	Antropov		FALSE	FALSE	FALSE	TRUE
Mason	Appleton	8478891	TRUE	FALSE	FALSE	TRUE
Darren	Archibald		FALSE	FALSE	FALSE	TRUE
Josh	Archibald	8476326	TRUE	FALSE	FALSE	TRUE
Mark	Arcobello		FALSE	FALSE	FALSE	TRUE
Joel	Armia	8476469	TRUE	FALSE	FALSE	TRUE
Colby	Armstrong		FALSE	FALSE	FALSE	TRUE
Derek	Armstrong		FALSE	FALSE	FALSE	TRUE
Tyler	Arnason		FALSE	FALSE	FALSE	TRUE
Jason	Arnott		FALSE	FALSE	FALSE	TRUE
Viktor	Arvidsson	8478042	TRUE	FALSE	FALSE	TRUE
Arron	Asham		FALSE	FALSE	FALSE	TRUE
Zach	Aston-Reese	8479944	TRUE	FALSE	FALSE	TRUE
Andreas	Athanasiou	8476960	TRUE	FALSE	FALSE	TRUE
Cam	Atkinson	8474715	TRUE	FALSE	FALSE	TRUE
Serge	Aubin		FALSE	FALSE	FALSE	TRUE
J.S.	Aubin		FALSE	TRUE	FALSE	FALSE
Keith	Aucoin		FALSE	FALSE	FALSE	TRUE
Adrian	Aucoin		FALSE	FALSE	TRUE	FALSE
Alexander	Auld		FALSE	TRUE	FALSE	FALSE
Keith	Aulie		FALSE	FALSE	TRUE	FALSE
Sean	Avery		FALSE	FALSE	FALSE	TRUE
P.J.	Axelsson		FALSE	FALSE	FALSE	TRUE
Anton	Babchuk		FALSE	FALSE	TRUE	FALSE
Jason	Bacashihua		FALSE	TRUE	FALSE	FALSE
David	Backes	8470655	TRUE	FALSE	FALSE	TRUE
Mikael	Backlund	8474150	TRUE	FALSE	FALSE	TRUE
Christian	Backman		FALSE	FALSE	TRUE	FALSE
Nicklas	Backstrom	8473563	TRUE	FALSE	FALSE	TRUE
Niklas	Backstrom		FALSE	TRUE	FALSE	FALSE
Sven	Baertschi	8476466	TRUE	FALSE	FALSE	TRUE
Josh	Bailey	8474573	TRUE	FALSE	FALSE	TRUE
Justin	Bailey		FALSE	FALSE	FALSE	TRUE
Rudolfs	Balcers	8478870	TRUE	FALSE	FALSE	TRUE
Keith	Ballard		FALSE	FALSE	TRUE	FALSE
Ivan	Barbashev	8477964	TRUE	FALSE	FALSE	TRUE
Mark	Barberio	8474717	TRUE	FALSE	TRUE	FALSE
Cam	Barker		FALSE	FALSE	TRUE	FALSE
Aleksander	Barkov	8477493	TRUE	FALSE	FALSE	TRUE
