4	41	4	7	11	0	9	1	0	1	0	68	5.9	15:30	90	4	0	4	0	0	2	3	3	3	4	4	3	0	1	1	2	3	2	2021-22
12	56	24	33	57	16	32	7	3	7	0	148	16.2	19:30	90	4	0	0	0	0	25	5	5	5	5	2	1	0	0	1	0	3	999	2021-22
2100	14	4	3	7	1	4	1	0	1	0	24	16.7	13:00	90	0	0	2	0	0	74	3	3	2	3	4	2	0	0	0	1	0	65	2021-22
19	25	0	3	3	-3	4	0	0	0	0	24	0.0	12:30	90	2	0	2	0	0	1	3	2	2	2	1	1	0	0	0	1	3	25	2021-22
2102	34	7	4	11	-9	6	1	0	2	0	37	18.9	13:30	90	2	0	0	0	0	53	3	3	3	2	3	2	0	0	0	1	2	2	2021-22
23	52	17	7	24	-10	38	1	1	5	0	125	13.6	16:30	90	0	3	3	0	0	24	4	3	3	4	3	5	0	0	0	0	0	8	2021-22
2101	54	1	10	11	0	30	0	0	1	0	52	1.9	21:15	120	0	0	0	4	0	254	3	4	3	0	3	2	3	0	0	1	0	16	2021-22
26	23	3	3	6	-4	12	0	0	0	0	23	13.0	12:00	90	2	2	2	0	0	10	2	4	3	2	2	1	0	0	0	0	1	30	2021-22
27	56	5	16	21	-9	34	1	0	0	0	96	5.2	21:15	120	0	0	0	0	2	0	4	3	4	0	3	3	3	0	0	1	0	24	2021-22
2080	19	2	2	4	4	8	1	0	0	0	19	10.5	08:00	90	0	0	3	0	0	11	2	3	2	3	5	3	0	0	0	0	0	15	2021-22
30	19	2	7	9	1	2	1	0	0	0	30	6.7	12:00	90	2	2	0	0	0	36	3	3	3	1	2	1	0	0	0	0	1	999	2021-22
32	56	12	13	25	11	14	0	0	1	0	88	13.6	14:30	90	0	4	4	0	0	20	4	4	3	3	2	2	0	0	0	0	0	127	2021-22
34	52	7	6	13	2	37	0	0	0	0	62	11.3	13:30	90	0	4	4	0	0	12	3	4	2	5	5	4	0	0	0	1	0	8	2021-22
36	41	7	7	14	10	10	1	1	0	0	73	9.6	14:45	90	0	4	4	0	0	11	3	4	3	4	3	4	0	0	0	0	0	20	2021-22
41	50	10	15	25	9	21	2	0	2	0	151	6.6	16:30	90	0	0	3	0	0	38	4	4	4	3	1	1	0	0	0	0	0	152	2021-22
1806	28	7	4	11	1	0	0	0	2	0	34	20.6	12:45	90	0	3	3	0	0	47	3	3	3	2	2	1	0	0	0	0	0	21	2021-22
43	45	9	6	15	10	15	0	1	0	0	79	11.4	14:30	90	0	4	0	0	0	17	2	3	2	5	3	5	0	0	1	0	0	14	2021-22
44	47	10	13	23	-6	27	0	0	1	0	85	11.8	15:00	90	0	2	2	0	0	25	4	5	3	2	1	1	0	0	0	0	0	246	2021-22
45	56	15	19	34	-16	4	1	4	2	0	158	9.5	19:00	90	0	0	2	0	0	28	4	4	4	2	2	1	0	0	1	0	0	999	2021-22
