1	year	10	1000	1000
69	2014	1	15	40
160	2012	2	27	40
2	2010	3	42	18
3	2017	4	78	11
4	2019	5	99	7
5	2011	1	20	39
6	2010	4	78	13
6	2008	5	85	48
10	2019	5	85	9
12	2017	1	6	11
15	2010	4	79	36
16	2013	2	24	16
18	2009	2	23	30
21	2014	2	22	45
23	2013	3	44	16
26	2019	3	49	7
27	2018	4	63	16
29	2017	3	47	5
30	2010	2	26	20
35	2014	4	62	14
36	2016	3	42	16
41	2016	3	57	36
42	2010	5	90	11
43	2018	4	80	16
44	2016	2	22	16
45	2012	2	36	16
51	2011	3	56	21
52	2010	5	99	36
54	2009	1	7	18
1821	2012	5	89	32
57	2010	2	24	18
59	2008	1	3	31
61	2013	1	12	11
62	2009	1	17	6
64	2019	5	84	6
1951	2013	5	95	16
1808	2017	5	99	13
66	2017	2	30	8
66	2018	4	70	13
67	2014	5	81	16
67	2017	5	86	20
68	2011	3	47	47
72	2012	5	82	16
74	2013	3	56	42
74	2014	5	99	22
1822	2010	5	92	16
75	2018	1	1	15
78	2019	1	19	8
82	2018	2	31	47
85	2015	3	58	13
85	2013	3	50	16
86	2017	2	34	47
87	2013	4	80	6
90	2010	3	41	39
93	2009	3	42	25
94	2016	5	83	9
98	2013	4	69	22
97	2010	1	6	18
100	2016	1	15	8
99	2017	4	65	9
99	2013	2	25	17
101	2017	2	38	14
103	2008	5	75	34
104	2008	3	40	30
104	2014	4	80	45
105	2011	3	59	36
107	2010	1	19	36
108	2009	1	4	14
110	2008	4	71	33
110	2011	3	43	7
109	2010	3	52	20
111	2015	5	90	17
113	2018	2	38	4
112	2008	2	26	46
1952	2012	5	98	16
116	2015	5	86	6
116	2010	3	56	18
119	2019	1	9	2
125	2018	5	99	11
125	2019	4	69	11
126	2016	1	17	13
127	2013	2	36	42
128	2019	1	12	18
129	2019	5	89	21
132	2016	2	28	8
133	2019	5	100	11
134	2011	2	22	24
135	2011	3	45	29
137	2009	1	16	47
138	2018	1	2	15
139	2019	4	62	13
139	2009	1	6	29
140	2008	4	69	31
141	2008	3	47	33
143	2010	4	75	16
146	2014	5	83	17
146	2013	5	97	52
148	2019	2	35	13
151	2013	4	67	16
151	2011	1	17	29
152	2014	4	75	8
154	2009	3	45	24
156	2014	3	58	7
157	2012	5	95	8
158	2014	5	87	36
161	2019	3	55	18
162	2018	3	49	2
163	2010	3	51	13
163	2011	5	81	16
165	2010	2	33	47
164	2010	2	23	24
167	2019	3	58	5
168	2012	3	44	7
170	2008	5	74	22
172	2010	1	13	14
176	2008	3	48	34
177	2018	1	20	11
180	2011	5	96	7
186	2012	4	74	10
187	2012	2	34	6
188	2013	1	11	47
191	2017	3	56	5
192	2009	3	46	47
194	2017	2	29	7
197	2014	5	84	9
197	2016	4	62	36
199	2009	5	90	16
199	2011	5	98	29
201	2013	2	21	42
202	2009	2	19	13
205	2017	2	33	3
206	2017	3	57	10
208	2015	1	18	13
211	2011	1	10	23
211	2016	3	50	14
214	2018	1	8	9
216	2009	3	47	23
215	2011	2	23	13
218	2014	4	79	9
220	2017	3	44	16
220	2019	3	43	16
224	2011	2	33	30
224	2016	3	60	9
227	2013	4	77	40
227	2012	5	86	10
228	2019	1	14	21
1953	2010	3	47	20
233	2010	4	71	7
235	2017	1	16	9
236	2010	1	11	20
1954	2011	4	64	14
240	2016	5	98	11
241	2016	3	58	47
241	2014	4	72	16
243	2010	3	45	14
244	2008	5	82	23
247	2019	4	72	16
248	2014	3	45	16
250	2019	1	18	5
1955	2013	5	98	18
251	2018	1	11	13
258	2015	3	60	39
258	2016	4	75	20
259	2013	2	35	16
261	2012	4	67	32
261	2008	3	50	22
263	2019	2	24	6
265	2017	1	14	5
266	2019	2	32	16
267	2018	3	41	20
268	2012	4	78	7
269	2017	4	66	20
272	2008	3	45	11
272	2011	4	78	29
274	2009	2	29	25
275	2015	3	52	36
276	2011	2	31	25
277	2019	5	87	15
278	2010	5	88	21
279	2014	4	66	21
280	2009	3	44	7
282	2008	1	11	33
286	2011	4	74	23
287	2018	1	18	18
288	2009	4	70	33
288	2008	4	59	20
290	2017	4	75	13
293	2019	1	7	21
294	2013	1	16	47
295	2016	5	81	5
296	2011	3	49	25
296	2016	4	67	16
300	2012	1	20	40
301	2017	2	22	7
305	2017	5	81	19
1956	2011	3	53	39
308	2010	2	37	16
309	2012	1	8	29
310	2012	2	25	29
311	2013	1	15	52
312	2011	5	89	18
313	2011	1	12	18
316	2017	3	60	47
318	2010	2	38	20
320	2019	5	94	2
320	2017	5	82	8
320	2018	3	44	9
321	2009	3	41	33
321	2013	4	68	29
323	2011	2	39	36
323	2018	1	9	21
324	2015	5	98	36
325	2019	1	2	13
326	2019	2	28	14
327	2019	4	71	12
329	2011	2	34	16
330	2016	3	46	20
332	2009	4	57	16
333	2015	1	15	25
335	2015	2	36	14
339	2008	2	24	38
339	2009	3	53	29
340	2014	3	42	45
341	2015	3	48	39
