16	46	2568	2.83	19	17	8	6	3	121	1156	1277	0.905	0	0	0	0	3	4	5	2019-20
21	60	3510	2.77	36	16	7	12	1	162	1796	1958	0.917	0	1	1	2	3	3	2	2019-20
24	50	2785	3.51	17	27	4	6	2	163	1513	1676	0.903	0	2	2	0	4	4	2	2019-20
110	35	1860	3.16	9	18	5	8	1	98	927	1025	0.904	0	0	0	0	3	3	3	2019-20
119	32	1876	1.89	24	5	1	5	5	59	748	807	0.927	0	0	0	0	3	4	4	2019-20
123	46	2637	1.98	27	15	2	15	7	87	1236	1323	0.934	0	2	2	2	3	3	4	2019-20
128	23	1264	2.61	10	10	0	3	2	55	614	669	0.918	0	0	0	0	4	4	2	2019-20
135	62	3557	2.58	37	24	1	7	9	153	1603	1756	0.913	0	0	0	2	4	4	2	2019-20
191	21	1165	2.52	13	6	2	2	1	49	603	652	0.925	0	0	0	0	3	3	2	2019-20
228	31	1593	2.3	10	14	1	7	2	61	784	845	0.928	0	1	1	0	3	3	3	2019-20
304	27	1529	2.9	16	7	3	4	1	74	702	776	0.905	0	1	1	0	2	2	2	2019-20
313	39	2213	2.93	14	18	5	7	2	108	1068	1176	0.908	0	4	4	0	3	3	3	2019-20
335	8	486	3.33	2	4	2	0	0	27	206	233	0.884	0	0	0	0	2	2	2	2019-20
349	16	831	3.61	6	4	3	4	0	50	495	545	0.908	0	0	0	0	2	2	3	2019-20
350	25	1323	3.17	10	8	4	4	2	70	543	613	0.886	0	0	0	0	2	2	2	2019-20
354	9	534	2.81	4	3	1	0	0	25	263	288	0.913	0	1	1	0	2	3	2	2019-20
362	36	1944	2.75	15	11	5	8	3	89	971	1060	0.916	0	0	0	2	2	3	2	2019-20
375	26	1561	2.88	21	5	0	0	0	75	737	812	0.908	0	1	1	4	4	3	3	2019-20
396	67	3855	2.54	31	28	6	12	2	163	1714	1877	0.913	0	2	2	2	3	3	2	2019-20
431	26	1397	2.96	11	11	1	4	1	69	672	741	0.907	0	1	1	2	3	3	2	2019-20
483	61	3635	2.51	35	21	5	9	8	152	1593	1745	0.913	0	2	2	4	4	3	2	2019-20
541	33	1874	2.91	14	13	4	5	2	91	966	1057	0.914	0	2	2	2	4	4	2	2019-20
547	58	3233	2.84	26	22	8	8	2	153	1685	1838	0.917	0	0	0	2	3	4	2	2019-20
597	43	2294	2.28	23	14	2	6	5	87	1098	1185	0.927	0	1	1	4	4	3	3	2019-20
603	37	2021	2.64	18	9	5	4	3	89	982	1071	0.917	0	0	0	0	4	3	3	2019-20
627	40	2308	2.34	22	11	4	7	5	90	1068	1158	0.922	0	4	4	0	3	3	3	2019-20
650	31	1717	2.83	16	13	1	4	0	81	895	976	0.917	0	0	0	0	3	4	4	2019-20
677	63	3704	2.9	34	23	3	8	2	179	1872	2051	0.913	0	3	3	4	4	5	2	2019-20
689	13	696	2.76	7	5	0	3	1	32	290	322	0.901	0	0	0	0	3	3	2	2019-20
707	59	3407	2.82	32	19	5	10	3	160	1635	1795	0.911	0	2	2	2	3	4	3	2019-20
717	55	3053	3.07	23	22	5	8	0	156	1553	1709	0.909	0	1	1	2	4	3	2	2019-20
734	9	496	3.27	3	4	2	0	1	27	212	239	0.887	0	0	0	0	2	3	2	2019-20
736	50	2840	3	18	25	5	13	0	142	1399	1541	0.908	0	1	1	2	3	3	2	2019-20
751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-20
768	19	811	3.63	2	11	0	3	1	49	357	406	0.879	0	0	0	0	2	3	2	2019-20
784	62	3597	2.94	36	19	5	8	3	176	1523	1699	0.896	0	1	1	2	3	4	2	2019-20
833	41	2220	2.57	16	17	5	2	2	95	1137	1232	0.923	0	0	0	2	5	4	2	2019-20
838	41	2302	3.36	15	18	6	8	3	129	1059	1188	0.891	0	0	0	0	4	3	4	2019-20
866	27	1361	2.95	10	7	3	4	0	67	584	651	0.897	0	0	0	0	4	4	2	2019-20
867	55	2992	2.93	25	21	6	8	4	146	1405	1551	0.906	0	2	2	2	4	2	2	2019-20
889	55	3251	2.33	27	20	8	4	5	126	1550	1676	0.925	0	2	2	14	3	3	3	2019-20
950	46	2616	2.13	25	13	5	4	6	93	1230	1323	0.93	0	1	1	0	5	4	3	2019-20
996	52	3089	3.07	18	23	10	13	0	158	1541	1699	0.907	0	3	3	0	3	3	2	2019-20
997	43	2347	3.12	18	16	5	8	1	122	1083	1205	0.899	0	1	1	0	3	2	2	2019-20
1037	60	3599	2.77	28	23	9	4	1	166	1730	1896	0.912	0	3	3	2	5	4	2	2019-20
1076	33	1978	2.58	20	11	2	3	2	85	883	968	0.912	0	0	0	0	3	2	2	2019-20
1083	11	511	3.99	1	5	1	3	0	34	282	316	0.892	0	0	0	0	2	2	2	2019-20
1114	20	1109	2.76	8	7	2	2	1	51	527	578	0.912	0	0	0	0	2	2	4	2019-20
1126	11	591	3.05	4	3	2	2	0	30	252	282	0.894	0	1	1	0	4	4	2	2019-20
1145	40	2387	2.39	23	14	3	9	4	95	1009	1104	0.914	0	1	1	6	4	3	4	2019-20
1154	50	2880	2.69	29	14	6	4	4	129	1465	1594	0.919	0	0	0	4	3	3	2	2019-20
1173	7	366	4.26	1	4	1	0	0	26	158	184	0.859	0	0	0	0	3	3	3	2019-20
1180	17	969	3.78	8	6	2	2	0	61	478	539	0.887	0	1	1	0	3	3	2	2019-20
1188	36	2040	2.97	14	19	1	9	2	101	997	1098	0.908	0	1	1	0	3	2	2	2019-20
1285	11	622	2.6	5	4	1	4	1	27	328	355	0.924	0	0	0	0	2	2	2	2019-20
