2008	5	83	Halifax Conquerers	Eric Nystrom	Winger	HAL
2008	5	84	Green Bay Glory	Brett Sterling	Winger	GRE
2008	5	85	Washington Whiskeyjacks	Craig Adams	Center	WAS
2008	5	86	San Antonio Outlaws	David Jones	Winger	SAO
2008	5	87	Cleveland Barons	Petteri Nokelainen	Winger	CLE
2008	5	88	Washington Whiskeyjacks	Petri Kontiola	Center	WAS
2008	5	89	Seattle Surge	Fernando Pisani	Winger	STS
2008	5	90	Oakland Oceanus	Joakim Lindstrom	Winger	OAO
2009	1	1	Oklahoma City Oil Barons	Steve Mason	Goaltender	OKL
2009	1	2	Toledo Honey Badgers	Steven Stamkos	Center	TOL
2009	1	3	Milwaukee Ice Dragons	Drew Doughty	Defense	MIL
2009	1	4	Oklahoma City Oil Barons	Patrick Berglund	Center	OKL
2009	1	5	Louisiana Voodoo	Michael Frolik	Winger	LOU
2009	1	6	Toledo Honey Badgers	Zach Bogosian	Defense	TOL
2009	1	7	South Carolina Stingrays	Anton Babchuk	Defense	SCS
2009	1	8	Milwaukee Ice Dragons	Claude Giroux	Center	MIL
2009	1	9	Mississippi Mudbugs	Pekka Rinne	Goaltender	MIS
2009	1	10	Oklahoma City Oil Barons	Blake Wheeler	Winger	OKL
2009	1	11	Mississippi Mudbugs	T.J. Oshie	Winger	MIS
2009	1	12	Oakland Assassins	Jakub Voracek	Winger	OAK
2009	1	13	Cape Breton Royals	James Neal	Winger	CBR
2009	1	14	Halifax Conquerers	Luke Schenn	Defense	HAL
2009	1	15	Indianapolis Mountain Goats	Kyle Quincey	Defense	IND
2009	1	16	Louisiana Voodoo	M. Boedker	Winger	LOU
2009	1	17	Green Bay Glory	Josh Bailey	Winger	GRE
2009	1	18	Indianapolis Mountain Goats	Jonathan Quick	Goaltender	IND
2009	2	19	Oakland Assassins	Fabian Brunnstrom	Winger	OAK
2009	2	20	Toledo Honey Badgers	Kyle Turris	Center	TOL
2009	2	21	San Francisco Fighting Cocks	Ville Leino	Winger	SFC
2009	2	22	South Carolina Stingrays	Joel Ward	Winger	SCS
2009	2	23	Brandon Bandits	Karl Alzner	Defense	BRA
2009	2	24	Toledo Honey Badgers	Alex Goligoski	Defense	TOL
2009	2	25	Oklahoma City Oil Barons	Viktor Tikhonov	Winger	OKL
2009	2	26	Indianapolis Mountain Goats	Andrew Ebbett	Winger	IND
2009	2	27	Seattle Surge	Steve Sullivan	Winger	STS
2009	2	28	San Francisco Fighting Cocks	Luca Sbisa	Defense	SFC
2009	2	29	Las Vegas Desperado	Scott Clemmensen	Goaltender	LVD
2009	2	30	Green Bay Glory	Mark Giordano	Defense	GRE
2009	2	31	San Francisco Fighting Cocks	Oscar Moller	Winger	SFC
2009	2	32	Cape Breton Royals	Nikolai Kulemin	Center	CBR
2009	2	33	Las Vegas Desperado	Semyon Varlamov	Goaltender	LVD
2009	2	34	Oklahoma City Oil Barons	Colin Fraser	Center	OKL
2009	2	35	Toledo Honey Badgers	Brian Elliott	Goaltender	TOL
2009	2	36	Toledo Honey Badgers	Chris Stewart	Winger	TOL
2009	3	37	Indianapolis Mountain Goats	Wayne Simmonds	Winger	IND
2009	3	38	Cape Breton Royals	Ryan Jones	Winger	CBR
2009	3	39	Milwaukee Ice Dragons	Ryan Shannon	Defense	MIL
2009	3	40	Memphis Hound Dogs	Darren Helm	Winger	MEM
2009	3	41	Halifax Conquerers	Matt D' Agostini	Winger	HAL
2009	3	42	Las Vegas Desperado	Brendan Bell	Defense	LVD
2009	3	43	Las Vegas Desperado	T.J. Galiardi	Winger	LVD
2009	3	44	Indianapolis Mountain Goats	Cal Clutterbuck	Winger	IND
2009	3	45	Seattle Surge	Brian Boucher	Goaltender	STS
2009	3	46	Louisiana Voodoo	Troy Brouwer	Winger	LOU
2009	3	47	Charlotte Storm	Chris Butler	Defense	CHA
2009	3	48	Green Bay Glory	Roman Polak	Defense	GRE
2009	3	49	Louisiana Voodoo	Georges Laraque	Winger	LOU
2009	3	50	Milwaukee Ice Dragons	Max Pacioretty	Winger	MIL
2009	3	51	South Carolina Stingrays	John Mitchell	Center	SCS
2009	3	52	San Francisco Fighting Cocks	Al Montoya	Goaltender	SFC
2009	3	53	Toledo Honey Badgers	Nigel Dawes	Winger	TOL
2009	3	54	Toledo Honey Badgers	Brian Lee	Defense	TOL
2009	4	55	Victoria Vipers	Rob Scuderi	Defense	VIC
2009	4	56	Louisiana Voodoo	Patrick Eaves	Winger	LOU
2009	4	57	San Francisco Fighting Cocks	Yan Danis	Goaltender	SFC
2009	4	58	South Carolina Stingrays	Dustin Penner	Winger	SCS
2009	4	59	Brandon Bandits	Liam Reddox	Winger	BRA
2009	4	60	Charlotte Storm	Niklas Hjalmarsson	Defense	CHA
2009	4	61	Oklahoma City Oil Barons	Shawn Matthias	Center	OKL
2009	4	62	San Francisco Fighting Cocks	Andreas Lilja	Defense	SFC
2009	4	63	Indianapolis Mountain Goats	Adam Pardy	Defense	IND
2009	4	64	Louisiana Voodoo	Ville Peltonen	Winger	LOU
2009	4	65	Victoria Vipers	Richard Zednik	Center	VIC
2009	4	66	Green Bay Glory	Rick Rypien	Winger	GRE
2009	4	67	Victoria Vipers	Benoit Pouliot	Winger	VIC
2009	4	68	South Carolina Stingrays	Jason Strudwick	Defense	SCS
2009	4	69	Charlotte Storm	Michael Leighton	Goaltender	CHA
2009	4	70	Halifax Conquerers	Blake Comeau	Winger	HAL
2009	4	71	Indianapolis Mountain Goats	Brandon Sutter	Center	IND
2009	4	72	Toledo Honey Badgers	Ville Koistinen	Defense	TOL
2009	5	73	San Francisco Fighting Cocks	Nicolas Deslauriers	Winger	SFC
2009	5	74	San Francisco Fighting Cocks	Nathan Oystrick	Defense	SFC
2009	5	75	Oakland Assassins	Nathan Gerbe	Winger	OAK
2009	5	76	Brandon Bandits	Jesse Winchester	Winger	BRA
2009	5	77	Brandon Bandits	Jay McClement	Center	BRA
2009	5	78	Oakland Assassins	David Steckel	Center	OAK
2009	5	79	Oklahoma City Oil Barons	Petr Vrana	Winger	OKL
2009	5	80	Indianapolis Mountain Goats	Joey McDonald	Goaltender	IND
2009	5	81	Seattle Surge	Petr Prucha	Winger	STS
2009	5	82	Indianapolis Mountain Goats	Radim Vrbata	Winger	IND
2009	5	83	San Francisco Fighting Cocks	Jiri Tlusty	Winger	SFC
2009	5	84	Green Bay Glory	Morgan Ellis	Defense	GRE
2009	5	85	San Francisco Fighting Cocks	Frans Nielsen	Center	SFC
2009	5	86	South Carolina Stingrays	T. Peterson	Winger	SCS
2009	5	87	Toledo Honey Badgers	Steve Downie	Winger	TOL
2009	5	88	Halifax Conquerers	Curtis Sanford	Goaltender	HAL
2009	5	89	South Carolina Stingrays	Joe Sakic	Center	SCS
2009	5	90	San Francisco Fighting Cocks	Gilbert Brule	Winger	SFC
2010	1	1	Toledo Honey Badgers	Tyler Myers	Defense	TOL
2010	1	2	Louisiana Voodoo	John Tavares	Center	LOU
2010	1	3	Wichita Wolfpack	Tuukka Rask	Goaltender	WIT
2010	1	4	Oklahoma City Oil Barons	Michael Del Zotto	Defense	OKL
2010	1	5	Oakland Assassins	Matt Duchene	Center	OAK
2010	1	6	South Carolina Stingrays	Jamie Benn	Winger	SCS
2010	1	7	Oakland Assassins	Victor Hedman	Defense	OAK
2010	1	8	Halifax Conquerers	James Van Riemsdyk	Winger	HAL
2010	1	9	South Carolina Stingrays	Evander Kane	Winger	SCS
2010	1	10	Oakland Assassins	Erik Karlsson	Defense	OAK
2010	1	11	Victoria Vipers	John Carlson	Defense	VIC
2010	1	12	Louisville Lionhearts	Cdoy Franson	Defense	LVL
2010	1	13	Oklahoma City Oil Barons	Tyler Bozak	Center	OKL
2010	1	14	Charlotte Storm	Colin Wilson	Winger	CHA
2010	1	15	Toledo Honey Badgers	Jimmy Howard	Goaltender	TOL
2010	1	16	Oakland Assassins	Nikita Filatov	Winger	OAK
2010	1	17	Mississauga Indians	Tyler Ennis	Winger	MGA
2010	1	18	Milwaukee Ice Dragons	Jamie McBain	Defense	MIL
2010	1	19	Mississauga Indians	Nicklas Bergfors	Winger	MGA
2010	1	20	Halifax Conquerers	Ryan O'Reilly	Center	HAL
2010	2	21	San Francisco Fighting Cocks	Alex Pietrangelo	Defense	SFC
2010	2	22	Toledo Honey Badgers	Dmitri Kulikov	Defense	TOL
2010	2	23	Seattle Surge	Zach Boychuk	Winger	STS
2010	2	24	South Carolina Stingrays	Mikael Backlund	Center	SCS
2010	2	25	Louisville Lionhearts	Michael Grabner	Winger	LVL
2010	2	26	Victoria Vipers	Artem Anisimov	Center	VIC
2010	2	27	Brandon Bandits	Matt Gilroy	Defense	BRA
2010	2	28	Brandon Bandits	Carl Gunnarsson	Defense	BRA
2010	2	29	Louisiana Voodoo	Ryan Wilson	Defense	LOU
2010	2	30	San Francisco Fighting Cocks	Robbie Schremp	Winger	SFC
2010	2	31	Louisiana Voodoo	Brandon Yip	Winger	LOU
2010	2	32	Toledo Honey Badgers	Jason Demers	Defense	TOL
2010	2	33	Louisiana Voodoo	Johnny Boychuk	Defense	LOU
2010	2	34	Las Vegas Desperado	Scott Parse	Winger	LVD
2010	2	35	Indianapolis Mountain Goats	Antti Niemi	Goaltender	IND
2010	2	36	Indianapolis Mountain Goats	Viktor Stalberg	Winger	IND
2010	2	37	San Francisco Fighting Cocks	Logan Couture	Center	SFC
2010	2	38	Victoria Vipers	Kyle Cumiskey	Defense	VIC
2010	2	39	Mississauga Indians	Tomas Greiss	Goaltender	MGA
2010	2	40	Mississauga Indians	Dan Sexton	Winger	MGA
2010	3	41	Louisville Lionhearts	Matt Beleskey	Winger	LVL
2010	3	42	South Carolina Stingrays	Justin Abdelkader	Winger	SCS
2010	3	43	San Francisco Fighting Cocks	Luca Sbisa	Defense	SFC
2010	3	44	Oklahoma City Oil Barons	Tim Kennedy	Defense	OKL
2010	3	45	Oklahoma City Oil Barons	Brett Carson	Winger	OKL
2010	3	46	Victoria Vipers	Sami Lepisto	Defense	VIC
2010	3	47	Victoria Vipers	Luca Caputi	Winger	VIC
2010	3	48	Victoria Vipers	Jonas Gustavsson	Goaltender	VIC
2010	3	49	Mississippi Mudbugs	Michal Repik	Winger	MIS
2010	3	50	Mississippi Mudbugs	Christian Hanson	Winger	MIS
