Justin	Abdelkader	8471716	TRUE	FALSE
Pontus	Aberg		TRUE	FALSE
Noel	Acciari	8478569	TRUE	FALSE
Luke	Adam		FALSE	FALSE
Craig	Adams		FALSE	FALSE
Kevyn	Adams		FALSE	FALSE
David	Aebischer		FALSE	TRUE
Maxim	Afinogenov		FALSE	FALSE
Kenny	Agostino		TRUE	FALSE
Andrew	Agozzino		TRUE	FALSE
Sebastian	Aho	8478427	TRUE	FALSE
Andrew	Alberts		FALSE	FALSE
Daniel	Alfredsson		FALSE	FALSE
Bryan	Allen		FALSE	FALSE
Jake	Allen	8474596	TRUE	TRUE
Jason	Allison		FALSE	FALSE
Karl	Alzner		TRUE	FALSE
Michael	Amadio	8478020	TRUE	FALSE
Tony	Amonte		FALSE	FALSE
Frederik	Andersen	8475883	TRUE	TRUE
Joey	Anderson		TRUE	FALSE
Josh	Anderson	8476981	TRUE	FALSE
Craig	Anderson	8467950	TRUE	TRUE
Joakim	Andersson		FALSE	FALSE
Lias	Andersson	8480072	TRUE	FALSE
Rasmus	Andersson	8478397	TRUE	FALSE
Andy	Andreoff	8476404	FALSE	FALSE
Sven	Andrighetto		TRUE	FALSE
Artem	Anisimov	8473573	TRUE	FALSE
Nik	Antropov		FALSE	FALSE
Mason	Appleton	8478891	TRUE	FALSE
Darren	Archibald		TRUE	FALSE
Josh	Archibald	8476326	TRUE	FALSE
Mark	Arcobello		FALSE	FALSE
Joel	Armia	8476469	TRUE	FALSE
Colby	Armstrong		FALSE	FALSE
Derek	Armstrong		FALSE	FALSE
Tyler	Arnason		FALSE	FALSE
Jason	Arnott		FALSE	FALSE
Viktor	Arvidsson	8478042	TRUE	FALSE
Arron	Asham		FALSE	FALSE
Zach	Aston-Reese	8479944	TRUE	FALSE
Andreas	Athanasiou	8476960	TRUE	FALSE
Cam	Atkinson	8474715	TRUE	FALSE
Serge	Aubin		FALSE	FALSE
J.S.	Aubin		FALSE	TRUE
Keith	Aucoin		FALSE	FALSE
Adrian	Aucoin		FALSE	FALSE
Alexander	Auld		FALSE	TRUE
Keith	Aulie		FALSE	FALSE
Sean	Avery		FALSE	FALSE
P.J.	Axelsson		FALSE	FALSE
Anton	Babchuk		FALSE	FALSE
Jason	Bacashihua		FALSE	TRUE
David	Backes	8470655	TRUE	FALSE
Mikael	Backlund	8474150	TRUE	FALSE
Christian	Backman		FALSE	FALSE
Nicklas	Backstrom	8473563	TRUE	FALSE
Niklas	Backstrom		FALSE	TRUE
Sven	Baertschi		TRUE	FALSE
Josh	Bailey	8474573	TRUE	FALSE
Justin	Bailey		TRUE	FALSE
Rudolfs	Balcers		TRUE	FALSE
Keith	Ballard		FALSE	FALSE
Ivan	Barbashev	8477964	TRUE	FALSE
Mark	Barberio	8474717	TRUE	FALSE
Cam	Barker		FALSE	FALSE
Aleksander	Barkov	8477493	TRUE	FALSE
Matthew	Barnaby		FALSE	FALSE
Stu	Barnes		FALSE	FALSE
Tyson	Barrie	8475197	TRUE	FALSE
Matt	Bartkowski		FALSE	FALSE
Victor	Bartley		FALSE	FALSE
