1	"A. Kempe, Adrian"	SFC	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
2	"A. Nylander, Alex*"	AUG	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Rookie
3	"A. Wagner, Austin*"	AUG	LW	21	5	6	11	5	6	0	0	0	0	20	25.0	214	10.2	0	0	0	0.0	63	24	87	72.4	19	10	29	65.5	0	0	0	0	0.0	28	1.33	1	0.048	1	3	1	2	0	0	0	0	0	0	2019-20	Playoffs	Rookie
4	"Abdelkader, Justin"	GRE	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
5	"Aberg, Pontus"	ATL	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
6	"Acciari, Noel"	IND	C	15	0	0	0	-1	2	0	0	0	0	13	0.0	103	6.9	7	2	9	77.8	19	3	22	86.4	8	4	12	66.7	0	0	0	0	0.0	8	0.53	0	0.000	0	0	1	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
7	"Agostino, Kenny"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
8	"Agozzino, Andrew"		C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
9	"Aho, Sebastian"	MIL	C	14	7	3	10	5	2	2	0	0	0	65	10.8	279	19.9	8	6	14	57.1	134	26	160	83.8	21	19	40	52.5	0	0	0	0	0.0	17	1.21	0	0.000	1	2	1	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
10	"Amadio, Michael"		C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
11	"Andrighetto, Sven"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
12	"Anisimov, Artem"	CIN	C	2	0	0	0	0	0	0	0	0	0	1	0.0	4	2.0	1	3	4	25.0	1	1	2	50.0	1	2	3	33.3	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
13	"Appleton, Mason*"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Rookie
14	"Armia, Joel"	MSG	RW	4	0	0	0	-1	0	0	0	0	0	3	0.0	37	9.3	1	1	2	50.0	9	2	11	81.8	2	1	3	66.7	0	0	0	0	0.0	4	1.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
