4	SAC	C	75	3	7	10	-14	4	1	0	0	0	79	3.8	1014	13.5	439	460	899	48.8	205	76	281	73.0	95	61	156	60.9	0	0	0	0	0.0	126	1.68	34	0.453	0	3	2	0	0	0	0	0	0	0	2021-22	Regular	Veteran
12	MIL	C	82	41	59	100	37	50	3	0	7	0	289	14.2	1626	19.8	250	208	458	54.6	935	166	1101	84.9	121	66	187	64.7	0	0	0	0	0.0	126	1.54	4	0.049	1	9	25	0	0	0	0	0	0	0	2021-22	Regular	Veteran
2100	FA	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2021-22	Regular	Rookie
19	FA	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2021-22	Regular	Veteran
2102	FA	C	1	0	0	0	0	0	0	0	0	0	1	0.0	12	12.0	4	7	11	36.4	3	0	3	100.0	1	2	3	33.3	0	0	0	0	0.0	1	1.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2021-22	Regular	Rookie
23	MEM	RW	79	16	5	21	-19	68	1	0	2	0	174	9.2	963	12.2	9	12	21	42.9	198	84	282	70.2	91	65	156	58.3	0	0	2	2	0.0	118	1.49	0	0.000	1	2	23	1	2	2	0	0	0	0	2021-22	Regular	Veteran
2101	SAC	LD	82	0	15	15	-11	22	0	0	0	0	77	0.0	1330	16.2	0	0	0	0.0	492	128	620	79.4	162	149	311	52.1	0	0	0	0	0.0	74	0.90	28	0.341	0	0	11	0	0	0	0	0	0	0	2021-22	Regular	Rookie
26	FA	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2021-22	Regular	Veteran
27	MIL	RD	66	10	23	33	6	40	3	0	1	0	101	9.9	1338	20.3	0	0	0	0.0	497	103	600	82.8	89	132	221	40.3	0	0	0	0	0.0	51	0.77	25	0.379	0	0	20	0	0	0	0	0	0	0	2021-22	Regular	Veteran
2080	FA	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2021-22	Regular	Rookie
30	FA	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2021-22	Regular	Veteran
32	SFC	RW	82	18	14	32	-8	2	0	0	1	0	111	16.2	1063	13.0	3	6	9	33.3	372	133	505	73.7	85	62	147	57.8	0	0	0	0	0.0	75	0.91	1	0.012	0	4	1	0	0	0	0	0	0	0	2021-22	Regular	Veteran
34	CIN	RW	28	0	1	1	-7	7	0	0	0	0	7	0.0	139	5.0	0	0	0	0.0	28	17	45	62.2	7	6	13	53.8	0	0	0	0	0.0	24	0.86	1	0.036	0	1	1	0	1	0	0	0	0	0	2021-22	Regular	Veteran
36	STA	RW	31	4	2	6	-6	2	0	0	0	0	34	11.8	350	11.3	1	3	4	25.0	77	23	100	77.0	37	23	60	61.7	0	0	0	0	0.0	53	1.71	0	0.000	0	2	1	0	0	0	0	0	0	0	2021-22	Regular	Veteran
