6	82	16	60	6	38	218	359	269	47	439	275	50	450	693	1	12	27	2	4	33	4	4	24	4	3	1	8	5	3	4	39	2	4	16	1	3	2205	3013	2423	2402	1826	1871	8094	2293	5	1	2021-22	Regular
7	82	25	49	8	58	270	364	250	46	397	285	63	449	695	7	17	21	3	8	28	5	8	21	3	2	3	19	6	1	0	37	2	6	6	5	5	2768	2728	1738	1852	1693	1777	8795	2173	7	1	2021-22	Regular
11	82	46	28	8	100	377	303	241	50	369	295	49	476	712	12	27	12	3	19	16	5	18	14	0	1	3	34	4	2	5	17	2	7	7	4	5	3548	1195	2110	1838	1936	1830	10209	2425	0	1	2021-22	Regular
12	82	69	9	4	142	489	257	263	71	378	272	42	435	616	11	33	6	1	36	3	3	29	2	1	3	0	56	2	1	4	5	2	9	2	1	11	4021	4292	2960	2482	1874	1815	11208	2347	6	2	2021-22	Regular
15	82	52	23	7	111	308	229	271	50	458	255	35	422	597	15	30	7	4	22	16	3	15	13	4	3	3	44	1	1	4	16	2	4	6	4	11	3350	2904	2656	2732	1957	1941	10960	2282	0	6	2021-22	Regular
2	82	35	44	3	73	313	308	290	56	469	240	46	394	554	11	22	18	1	13	26	2	17	14	1	1	4	28	5	2	1	33	1	6	6	0	3	2226	2625	2610	2788	1916	1878	8178	2210	4	6	2021-22	Regular
3	82	41	34	7	89	296	279	277	59	432	269	45	437	622	6	24	12	5	17	22	2	20	9	3	3	5	34	5	1	4	25	2	3	4	4	4	2722	2456	2682	2343	1959	1883	9686	2208	7	5	2021-22	Regular
5	82	49	22	11	109	362	269	227	48	365	289	48	473	649	7	29	8	4	20	14	7	20	8	4	2	3	38	2	6	4	17	4	7	3	1	6	3233	2714	2856	2554	1844	1905	10529	2376	3	5	2021-22	Regular
19	82	14	59	9	37	185	333	317	45	535	224	58	341	512	4	9	24	8	5	35	1	8	20	4	1	2	9	4	5	1	48	2	4	7	2	3	1785	2912	1783	2242	1693	1864	6865	1919	3	0	2021-22	Regular
60	82	19	60	3	41	188	340	289	32	494	288	65	441	632	5	12	29	0	7	31	3	8	22	2	2	0	11	1	1	1	49	1	7	10	1	3	1867	2956	1921	2489	1950	1999	7855	2508	7	2	2021-22	Regular
8	82	35	37	10	80	277	270	274	48	463	258	49	444	617	6	23	12	6	12	25	4	13	18	1	0	1	31	0	3	1	30	1	3	7	6	4	2763	3171	2412	2585	1922	1980	9021	2357	7	4	2021-22	Regular
13	82	39	36	7	85	314	317	244	30	412	266	48	435	669	4	22	18	1	17	18	6	15	14	3	1	2	31	3	3	0	24	2	8	9	2	5	2846	365	2362	2703	1811	1786	9175	2207	1	0	2021-22	Regular
16	82	36	41	5	77	230	260	294	37	493	263	42	425	640	2	22	16	3	14	25	2	10	21	1	2	1	29	0	1	0	40	1	7	1	3	5	2585	2667	2343	2500	2062	1915	8713	2342	7	7	2021-22	Regular
53	82	37	41	4	78	281	305	270	54	440	279	42	470	700	16	17	20	4	20	21	0	15	16	1	4	2	26	1	1	1	36	1	10	4	2	5	3038	3076	2745	2434	1735	1828	9634	2347	8	3	2021-22	Regular
61	82	50	18	14	114	326	230	253	38	413	267	36	448	612	10	26	10	5	24	8	9	22	6	4	6	1	41	1	4	2	14	4	7	3	6	8	3137	2554	2809	2673	1968	1878	9699	2292	7	3	2021-22	Regular
4	82	53	23	6	112	363	237	232	58	349	286	42	466	704	9	27	12	2	26	11	4	21	9	2	2	5	45	1	0	4	19	1	4	3	5	6	3391	2711	2451	2494	1946	1819	10154	2228	2	9	2021-22	Regular
9	82	26	47	9	61	209	297	299	44	504	222	45	367	493	6	15	21	5	11	26	4	11	19	2	4	5	18	1	2	5	37	2	3	9	5	3	2457	3506	2406	2535	1966	1910	8384	2359	12	1	2021-22	Regular
10	82	30	42	10	70	278	298	251	43	415	264	51	428	603	6	22	14	5	8	28	5	10	18	4	4	3	22	3	2	1	32	7	7	7	1	3	2506	2998	2283	2268	1852	1939	8760	2312	7	1	2021-22	Regular
14	82	27	48	7	61	231	337	276	39	460	283	70	444	689	6	16	21	4	11	27	3	9	18	5	2	2	14	0	3	4	42	0	9	6	4	9	2351	2063	2764	2875	1852	2033	8211	2390	1	1	2021-22	Regular
21	82	48	26	8	104	311	234	264	60	407	271	41	447	644	6	25	9	7	23	17	1	22	9	1	2	2	41	2	1	1	19	4	6	5	3	8	2936	2427	2501	1846	2052	1891	9871	2362	6	5	2021-22	Regular
